V1	Ix(U1:1)
Step Information: Temp=-40  (Step: 1/5)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-03	2.359026e-11
2.000000000000000e-03	4.752840e-11
3.000000000000000e-03	7.156610e-11
4.000000000000000e-03	9.579786e-11
5.000000000000000e-03	1.202330e-10
6.000000000000000e-03	1.448814e-10
7.000000000000000e-03	1.697531e-10
8.000000000000000e-03	1.948590e-10
9.000000000000001e-03	2.202104e-10
1.000000000000000e-02	2.458189e-10
1.100000000000000e-02	2.716971e-10
1.200000000000000e-02	2.978577e-10
1.300000000000000e-02	3.243145e-10
1.400000000000000e-02	3.510817e-10
1.500000000000000e-02	3.781742e-10
1.600000000000000e-02	4.056076e-10
1.700000000000000e-02	4.333983e-10
1.800000000000000e-02	4.615635e-10
1.900000000000000e-02	4.901212e-10
2.000000000000000e-02	5.190902e-10
2.100000000000000e-02	5.484904e-10
2.200000000000000e-02	5.783425e-10
2.300000000000000e-02	6.086681e-10
2.400000000000000e-02	6.394901e-10
2.500000000000000e-02	6.708324e-10
2.600000000000000e-02	7.027199e-10
2.700000000000000e-02	7.351788e-10
2.800000000000000e-02	7.682366e-10
2.900000000000000e-02	8.019221e-10
3.000000000000000e-02	8.362656e-10
3.100000000000000e-02	8.712985e-10
3.200000000000000e-02	9.070542e-10
3.300000000000000e-02	9.435672e-10
3.400000000000000e-02	9.808740e-10
3.500000000000000e-02	1.019013e-09
3.600000000000000e-02	1.058024e-09
3.700000000000000e-02	1.097948e-09
3.800000000000000e-02	1.138831e-09
3.900000000000000e-02	1.180717e-09
4.000000000000000e-02	1.223656e-09
4.100000000000000e-02	1.267697e-09
4.200000000000000e-02	1.312894e-09
4.300000000000000e-02	1.359303e-09
4.400000000000000e-02	1.406980e-09
4.500000000000000e-02	1.455989e-09
4.600000000000000e-02	1.506392e-09
4.700000000000000e-02	1.558257e-09
4.800000000000000e-02	1.611653e-09
4.900000000000000e-02	1.666655e-09
5.000000000000000e-02	1.723339e-09
5.100000000000000e-02	1.781788e-09
5.200000000000000e-02	1.842084e-09
5.300000000000000e-02	1.904318e-09
5.400000000000000e-02	1.968582e-09
5.500000000000000e-02	2.034974e-09
5.600000000000000e-02	2.103596e-09
5.700000000000000e-02	2.174556e-09
5.800000000000000e-02	2.247966e-09
5.900000000000000e-02	2.323943e-09
6.000000000000000e-02	2.402612e-09
6.100000000000000e-02	2.484100e-09
6.200000000000000e-02	2.568545e-09
6.300000000000000e-02	2.656088e-09
6.400000000000000e-02	2.746879e-09
6.500000000000000e-02	2.841072e-09
6.600000000000000e-02	2.938832e-09
6.700000000000000e-02	3.040330e-09
6.800000000000000e-02	3.145747e-09
6.900000000000001e-02	3.255270e-09
7.000000000000001e-02	3.369096e-09
7.100000000000001e-02	3.487433e-09
7.200000000000001e-02	3.610498e-09
7.300000000000000e-02	3.738518e-09
7.400000000000000e-02	3.871730e-09
7.500000000000000e-02	4.010386e-09
7.600000000000000e-02	4.154745e-09
7.700000000000000e-02	4.305084e-09
7.800000000000000e-02	4.461688e-09
7.900000000000000e-02	4.624860e-09
8.000000000000000e-02	4.794914e-09
8.100000000000000e-02	4.972182e-09
8.200000000000000e-02	5.157011e-09
8.300000000000000e-02	5.349764e-09
8.400000000000001e-02	5.550822e-09
8.500000000000001e-02	5.760584e-09
8.600000000000001e-02	5.979470e-09
8.700000000000001e-02	6.207917e-09
8.799999999999999e-02	6.446385e-09
8.900000000000000e-02	6.695355e-09
9.000000000000000e-02	6.955334e-09
9.100000000000000e-02	7.226849e-09
9.200000000000000e-02	7.510456e-09
9.300000000000000e-02	7.806736e-09
9.400000000000000e-02	8.116298e-09
9.500000000000000e-02	8.439781e-09
9.600000000000000e-02	8.777854e-09
9.700000000000000e-02	9.131218e-09
9.800000000000000e-02	9.500608e-09
9.900000000000000e-02	9.886796e-09
1.000000000000000e-01	1.029059e-08
1.010000000000000e-01	1.071283e-08
1.020000000000000e-01	1.115441e-08
1.030000000000000e-01	1.161626e-08
1.040000000000000e-01	1.209935e-08
1.050000000000000e-01	1.260470e-08
1.060000000000000e-01	1.313339e-08
1.070000000000000e-01	1.368653e-08
1.080000000000000e-01	1.426531e-08
1.090000000000000e-01	1.487094e-08
1.100000000000000e-01	1.550473e-08
1.110000000000000e-01	1.616803e-08
1.120000000000000e-01	1.686226e-08
1.130000000000000e-01	1.758889e-08
1.140000000000000e-01	1.834950e-08
1.150000000000000e-01	1.914572e-08
1.160000000000000e-01	1.997925e-08
1.170000000000000e-01	2.085189e-08
1.180000000000000e-01	2.176553e-08
1.190000000000000e-01	2.272212e-08
1.200000000000000e-01	2.372374e-08
1.210000000000000e-01	2.477256e-08
1.220000000000000e-01	2.587083e-08
1.230000000000000e-01	2.702094e-08
1.240000000000000e-01	2.822538e-08
1.250000000000000e-01	2.948677e-08
1.260000000000000e-01	3.080783e-08
1.270000000000000e-01	3.219144e-08
1.280000000000000e-01	3.364061e-08
1.290000000000000e-01	3.515848e-08
1.300000000000000e-01	3.674837e-08
1.310000000000000e-01	3.841373e-08
1.320000000000000e-01	4.015819e-08
1.330000000000000e-01	4.198555e-08
1.340000000000000e-01	4.389980e-08
1.350000000000000e-01	4.590512e-08
1.360000000000000e-01	4.800588e-08
1.370000000000000e-01	5.020667e-08
1.380000000000000e-01	5.251231e-08
1.390000000000000e-01	5.492783e-08
1.400000000000000e-01	5.745851e-08
1.410000000000000e-01	6.010989e-08
1.420000000000000e-01	6.288778e-08
1.430000000000000e-01	6.579825e-08
1.440000000000000e-01	6.884768e-08
1.450000000000000e-01	7.204275e-08
1.460000000000000e-01	7.539047e-08
1.470000000000000e-01	7.889815e-08
1.480000000000000e-01	8.257352e-08
1.490000000000000e-01	8.642461e-08
1.500000000000000e-01	9.045988e-08
1.510000000000000e-01	9.468819e-08
1.520000000000000e-01	9.911881e-08
1.530000000000000e-01	1.037615e-07
1.540000000000000e-01	1.086264e-07
1.550000000000000e-01	1.137242e-07
1.560000000000000e-01	1.190661e-07
1.570000000000000e-01	1.246639e-07
1.580000000000000e-01	1.305298e-07
1.590000000000000e-01	1.366767e-07
1.600000000000000e-01	1.431183e-07
1.610000000000000e-01	1.498685e-07
1.620000000000000e-01	1.569423e-07
1.630000000000000e-01	1.643552e-07
1.640000000000000e-01	1.721235e-07
1.650000000000000e-01	1.802643e-07
1.660000000000000e-01	1.887954e-07
1.670000000000000e-01	1.977358e-07
1.680000000000000e-01	2.071050e-07
1.690000000000000e-01	2.169237e-07
1.700000000000000e-01	2.272134e-07
1.710000000000000e-01	2.379968e-07
1.720000000000000e-01	2.492977e-07
1.730000000000000e-01	2.611409e-07
1.740000000000000e-01	2.735525e-07
1.750000000000000e-01	2.865598e-07
1.760000000000000e-01	3.001914e-07
1.770000000000000e-01	3.144774e-07
1.780000000000000e-01	3.294493e-07
1.790000000000000e-01	3.451399e-07
1.800000000000000e-01	3.615839e-07
1.810000000000000e-01	3.788174e-07
1.820000000000000e-01	3.968784e-07
1.830000000000000e-01	4.158067e-07
1.840000000000000e-01	4.356441e-07
1.850000000000000e-01	4.564341e-07
1.860000000000000e-01	4.782225e-07
1.870000000000000e-01	5.010575e-07
1.880000000000000e-01	5.249893e-07
1.890000000000000e-01	5.500705e-07
1.900000000000000e-01	5.763565e-07
1.910000000000000e-01	6.039052e-07
1.920000000000000e-01	6.327772e-07
1.930000000000000e-01	6.630363e-07
1.940000000000000e-01	6.947490e-07
1.950000000000000e-01	7.279853e-07
1.960000000000000e-01	7.628182e-07
1.970000000000000e-01	7.993248e-07
1.980000000000000e-01	8.375852e-07
1.990000000000000e-01	8.776840e-07
2.000000000000000e-01	9.197094e-07
2.010000000000000e-01	9.637540e-07
2.020000000000000e-01	1.009915e-06
2.030000000000000e-01	1.058294e-06
2.040000000000000e-01	1.108997e-06
2.050000000000000e-01	1.162137e-06
2.060000000000000e-01	1.217831e-06
2.070000000000000e-01	1.276200e-06
2.080000000000000e-01	1.337375e-06
2.090000000000000e-01	1.401489e-06
2.100000000000000e-01	1.468684e-06
2.110000000000000e-01	1.539108e-06
2.120000000000000e-01	1.612916e-06
2.130000000000000e-01	1.690271e-06
2.140000000000000e-01	1.771344e-06
2.150000000000000e-01	1.856312e-06
2.160000000000000e-01	1.945363e-06
2.170000000000000e-01	2.038694e-06
2.180000000000000e-01	2.136510e-06
2.190000000000000e-01	2.239027e-06
2.200000000000000e-01	2.346470e-06
2.210000000000000e-01	2.459076e-06
2.220000000000000e-01	2.577094e-06
2.230000000000000e-01	2.700783e-06
2.240000000000000e-01	2.830416e-06
2.250000000000000e-01	2.966278e-06
2.260000000000000e-01	3.108669e-06
2.270000000000000e-01	3.257903e-06
2.280000000000000e-01	3.414307e-06
2.290000000000000e-01	3.578228e-06
2.300000000000000e-01	3.750026e-06
2.310000000000000e-01	3.930078e-06
2.320000000000000e-01	4.118783e-06
2.330000000000000e-01	4.316555e-06
2.340000000000000e-01	4.523830e-06
2.350000000000000e-01	4.741064e-06
2.360000000000000e-01	4.968737e-06
2.370000000000000e-01	5.207349e-06
2.380000000000000e-01	5.457425e-06
2.390000000000000e-01	5.719517e-06
2.400000000000000e-01	5.994200e-06
2.410000000000000e-01	6.282081e-06
2.420000000000000e-01	6.583793e-06
2.430000000000000e-01	6.899998e-06
2.440000000000000e-01	7.231395e-06
2.450000000000000e-01	7.578712e-06
2.460000000000000e-01	7.942713e-06
2.470000000000000e-01	8.324198e-06
2.480000000000000e-01	8.724009e-06
2.490000000000000e-01	9.143023e-06
2.500000000000000e-01	9.582163e-06
2.510000000000000e-01	1.004239e-05
2.520000000000000e-01	1.052473e-05
2.530000000000000e-01	1.103023e-05
2.540000000000000e-01	1.156000e-05
2.550000000000000e-01	1.211522e-05
2.560000000000000e-01	1.269709e-05
2.570000000000000e-01	1.330690e-05
2.580000000000000e-01	1.394599e-05
2.590000000000000e-01	1.461576e-05
2.600000000000000e-01	1.531769e-05
2.610000000000000e-01	1.605331e-05
2.620000000000000e-01	1.682424e-05
2.630000000000000e-01	1.763218e-05
2.640000000000000e-01	1.847888e-05
2.650000000000000e-01	1.936622e-05
2.660000000000000e-01	2.029614e-05
2.670000000000000e-01	2.127068e-05
2.680000000000000e-01	2.229197e-05
2.690000000000000e-01	2.336225e-05
2.700000000000000e-01	2.448388e-05
2.710000000000000e-01	2.565929e-05
2.720000000000000e-01	2.689108e-05
2.730000000000000e-01	2.818193e-05
2.740000000000000e-01	2.953467e-05
2.750000000000000e-01	3.095225e-05
2.760000000000000e-01	3.243779e-05
2.770000000000000e-01	3.399451e-05
2.780000000000000e-01	3.562584e-05
2.790000000000000e-01	3.733532e-05
2.800000000000000e-01	3.912669e-05
2.810000000000000e-01	4.100385e-05
2.820000000000000e-01	4.297091e-05
2.830000000000000e-01	4.503214e-05
2.840000000000000e-01	4.719204e-05
