V1	Ix(U1:2)
Step Information: Temp=-40  (Step: 1/5)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-01	2.075841e-09
2.000000000000000e-01	4.076634e-09
3.000000000000000e-01	6.076740e-09
4.000000000000000e-01	8.076840e-09
5.000000000000000e-01	1.007694e-08
6.000000000000001e-01	1.207704e-08
7.000000000000001e-01	1.407714e-08
8.000000000000000e-01	1.607724e-08
9.000000000000000e-01	1.807734e-08
1.000000000000000e+00	2.007744e-08
1.100000000000000e+00	2.207754e-08
1.200000000000000e+00	2.407764e-08
1.300000000000000e+00	2.607774e-08
1.400000000000000e+00	2.807784e-08
1.500000000000000e+00	3.007794e-08
1.600000000000000e+00	3.207804e-08
1.700000000000000e+00	3.407814e-08
1.800000000000000e+00	3.607824e-08
1.900000000000000e+00	3.807834e-08
2.000000000000000e+00	4.007844e-08
2.100000000000000e+00	4.207854e-08
2.200000000000000e+00	4.407864e-08
2.300000000000000e+00	4.607874e-08
2.400000000000000e+00	4.807884e-08
2.500000000000000e+00	5.007894e-08
2.600000000000000e+00	5.207904e-08
2.700000000000000e+00	5.407914e-08
2.800000000000000e+00	5.607924e-08
2.900000000000000e+00	5.807934e-08
3.000000000000000e+00	6.007944e-08
3.100000000000000e+00	6.207954e-08
3.200000000000000e+00	6.407964e-08
3.300000000000000e+00	6.607974e-08
3.400000000000000e+00	6.807984e-08
3.500000000000000e+00	7.007994e-08
3.600000000000000e+00	7.208004e-08
3.700000000000000e+00	7.408014e-08
3.800000000000000e+00	7.608024e-08
3.900000000000000e+00	7.808034e-08
4.000000000000000e+00	8.008044e-08
4.100000000000001e+00	8.208054e-08
4.200000000000000e+00	8.408064e-08
4.300000000000000e+00	8.608074e-08
4.400000000000000e+00	8.808084e-08
4.500000000000000e+00	9.008094e-08
4.600000000000001e+00	9.208104e-08
4.700000000000000e+00	9.408114e-08
4.800000000000001e+00	9.608124e-08
4.900000000000000e+00	9.808134e-08
5.000000000000000e+00	1.000814e-07
5.100000000000001e+00	1.020815e-07
5.200000000000000e+00	1.040816e-07
5.300000000000001e+00	1.060817e-07
5.400000000000000e+00	1.080818e-07
5.500000000000000e+00	1.100819e-07
5.600000000000001e+00	1.120820e-07
5.700000000000000e+00	1.140821e-07
5.800000000000001e+00	1.160822e-07
5.900000000000000e+00	1.180823e-07
6.000000000000000e+00	1.200824e-07
6.100000000000001e+00	1.220825e-07
6.200000000000000e+00	1.240826e-07
6.300000000000001e+00	1.260827e-07
6.400000000000000e+00	1.280828e-07
6.500000000000000e+00	1.300829e-07
6.600000000000001e+00	1.320830e-07
6.700000000000000e+00	1.340831e-07
6.800000000000001e+00	1.360832e-07
6.900000000000000e+00	1.380833e-07
7.000000000000000e+00	1.400834e-07
7.100000000000001e+00	1.420835e-07
7.200000000000000e+00	1.440836e-07
7.300000000000001e+00	1.460837e-07
7.400000000000000e+00	1.480838e-07
7.500000000000000e+00	1.500839e-07
7.600000000000001e+00	1.520840e-07
7.700000000000000e+00	1.540841e-07
7.800000000000001e+00	1.560842e-07
7.900000000000000e+00	1.580843e-07
8.000000000000000e+00	1.600844e-07
8.100000000000000e+00	1.620845e-07
8.200000000000001e+00	1.640846e-07
8.300000000000001e+00	1.660847e-07
8.400000000000000e+00	1.680848e-07
8.500000000000000e+00	1.700849e-07
8.600000000000000e+00	1.720850e-07
8.700000000000001e+00	1.740851e-07
8.800000000000001e+00	1.760852e-07
8.900000000000000e+00	1.780853e-07
9.000000000000000e+00	1.800854e-07
9.100000000000000e+00	1.820855e-07
9.200000000000001e+00	1.840856e-07
9.300000000000001e+00	1.860857e-07
9.400000000000000e+00	1.880858e-07
9.500000000000000e+00	1.900859e-07
9.600000000000001e+00	1.920860e-07
9.700000000000001e+00	1.940861e-07
9.800000000000001e+00	1.960862e-07
9.900000000000000e+00	1.980863e-07
1.000000000000000e+01	2.000864e-07
1.010000000000000e+01	2.020865e-07
1.020000000000000e+01	2.040866e-07
1.030000000000000e+01	2.060867e-07
1.040000000000000e+01	2.080868e-07
1.050000000000000e+01	2.100869e-07
1.060000000000000e+01	2.120870e-07
1.070000000000000e+01	2.140871e-07
1.080000000000000e+01	2.160872e-07
1.090000000000000e+01	2.180873e-07
1.100000000000000e+01	2.200874e-07
1.110000000000000e+01	2.220875e-07
1.120000000000000e+01	2.240876e-07
1.130000000000000e+01	2.260877e-07
1.140000000000000e+01	2.280878e-07
1.150000000000000e+01	2.300879e-07
1.160000000000000e+01	2.320880e-07
1.170000000000000e+01	2.340881e-07
1.180000000000000e+01	2.360882e-07
1.190000000000000e+01	2.380883e-07
1.200000000000000e+01	2.400884e-07
1.210000000000000e+01	2.420885e-07
1.220000000000000e+01	2.440887e-07
1.230000000000000e+01	2.460887e-07
1.240000000000000e+01	2.480888e-07
1.250000000000000e+01	2.500889e-07
1.260000000000000e+01	2.520891e-07
1.270000000000000e+01	2.540891e-07
1.280000000000000e+01	2.560892e-07
1.290000000000000e+01	2.580893e-07
1.300000000000000e+01	2.600895e-07
1.310000000000000e+01	2.620895e-07
1.320000000000000e+01	2.640896e-07
1.330000000000000e+01	2.660897e-07
1.340000000000000e+01	2.680898e-07
1.350000000000000e+01	2.700899e-07
1.360000000000000e+01	2.720900e-07
1.370000000000000e+01	2.740901e-07
1.380000000000000e+01	2.760902e-07
1.390000000000000e+01	2.780903e-07
1.400000000000000e+01	2.800904e-07
1.410000000000000e+01	2.820906e-07
1.420000000000000e+01	2.840906e-07
1.430000000000000e+01	2.860907e-07
1.440000000000000e+01	2.880908e-07
1.450000000000000e+01	2.900910e-07
1.460000000000000e+01	2.920910e-07
1.470000000000000e+01	2.940911e-07
1.480000000000000e+01	2.960912e-07
1.490000000000000e+01	2.980914e-07
1.500000000000000e+01	3.000914e-07
1.510000000000000e+01	3.020915e-07
1.520000000000000e+01	3.040916e-07
1.530000000000000e+01	3.060917e-07
1.540000000000000e+01	3.080918e-07
1.550000000000000e+01	3.100919e-07
1.560000000000000e+01	3.120920e-07
1.570000000000000e+01	3.140921e-07
1.580000000000000e+01	3.160922e-07
1.590000000000000e+01	3.180923e-07
1.600000000000000e+01	3.200925e-07
1.610000000000000e+01	3.220925e-07
1.620000000000000e+01	3.240926e-07
1.630000000000000e+01	3.260927e-07
1.640000000000000e+01	3.280929e-07
1.650000000000000e+01	3.300929e-07
1.660000000000000e+01	3.320930e-07
1.670000000000000e+01	3.340931e-07
1.680000000000000e+01	3.360933e-07
1.690000000000000e+01	3.380933e-07
1.700000000000000e+01	3.400934e-07
1.710000000000000e+01	3.420935e-07
1.720000000000000e+01	3.440936e-07
1.730000000000000e+01	3.460937e-07
1.740000000000000e+01	3.480938e-07
1.750000000000000e+01	3.500939e-07
1.760000000000000e+01	3.520940e-07
1.770000000000000e+01	3.540941e-07
1.780000000000000e+01	3.560942e-07
1.790000000000000e+01	3.580943e-07
1.800000000000000e+01	3.600944e-07
1.810000000000000e+01	3.620945e-07
1.820000000000000e+01	3.640946e-07
1.830000000000000e+01	3.660948e-07
1.840000000000000e+01	3.680948e-07
1.850000000000000e+01	3.700949e-07
1.860000000000000e+01	3.720950e-07
1.870000000000000e+01	3.740952e-07
1.880000000000000e+01	3.760952e-07
1.890000000000000e+01	3.780953e-07
1.900000000000000e+01	3.800954e-07
1.910000000000000e+01	3.820955e-07
1.920000000000000e+01	3.840956e-07
1.930000000000000e+01	3.860957e-07
1.940000000000000e+01	3.880958e-07
1.950000000000000e+01	3.900959e-07
1.960000000000000e+01	3.920960e-07
1.970000000000000e+01	3.940961e-07
1.980000000000000e+01	3.960962e-07
1.990000000000000e+01	3.980963e-07
2.000000000000000e+01	4.000964e-07
2.010000000000000e+01	4.020965e-07
2.020000000000000e+01	4.040967e-07
2.030000000000000e+01	4.060967e-07
2.040000000000000e+01	4.080968e-07
2.050000000000000e+01	4.100969e-07
2.060000000000000e+01	4.120971e-07
2.070000000000000e+01	4.140971e-07
2.080000000000000e+01	4.160972e-07
2.090000000000000e+01	4.180973e-07
2.100000000000000e+01	4.200975e-07
2.110000000000000e+01	4.220975e-07
2.120000000000000e+01	4.240976e-07
2.130000000000000e+01	4.260977e-07
2.140000000000000e+01	4.280978e-07
2.150000000000000e+01	4.300979e-07
2.160000000000000e+01	4.320980e-07
2.170000000000000e+01	4.340981e-07
2.180000000000000e+01	4.360982e-07
2.190000000000000e+01	4.380983e-07
2.200000000000000e+01	4.400984e-07
2.210000000000000e+01	4.420986e-07
2.220000000000000e+01	4.440986e-07
2.230000000000000e+01	4.460987e-07
2.240000000000000e+01	4.480988e-07
2.250000000000000e+01	4.500990e-07
2.260000000000000e+01	4.520990e-07
2.270000000000000e+01	4.540991e-07
2.280000000000000e+01	4.560992e-07
2.290000000000000e+01	4.580994e-07
2.300000000000000e+01	4.600994e-07
2.310000000000000e+01	4.620995e-07
2.320000000000000e+01	4.640996e-07
2.330000000000000e+01	4.660997e-07
2.340000000000000e+01	4.680998e-07
2.350000000000000e+01	4.700999e-07
2.360000000000000e+01	4.721000e-07
2.370000000000000e+01	4.741001e-07
2.380000000000000e+01	4.761002e-07
2.390000000000000e+01	4.781003e-07
2.400000000000000e+01	4.801004e-07
2.410000000000000e+01	4.821005e-07
2.420000000000000e+01	4.841007e-07
2.430000000000000e+01	4.861008e-07
2.440000000000000e+01	4.881009e-07
2.450000000000000e+01	4.901009e-07
2.460000000000000e+01	4.921010e-07
2.470000000000000e+01	4.941011e-07
2.480000000000000e+01	4.961012e-07
2.490000000000000e+01	4.981013e-07
2.500000000000000e+01	5.001015e-07
2.510000000000000e+01	5.021016e-07
2.520000000000000e+01	5.041016e-07
2.530000000000000e+01	5.061017e-07
2.540000000000000e+01	5.081018e-07
2.550000000000000e+01	5.101019e-07
2.560000000000000e+01	5.121020e-07
2.570000000000000e+01	5.141021e-07
2.580000000000000e+01	5.161023e-07
2.590000000000000e+01	5.181024e-07
2.600000000000000e+01	5.201024e-07
2.610000000000000e+01	5.221025e-07
2.620000000000000e+01	5.241026e-07
2.630000000000000e+01	5.261027e-07
2.640000000000000e+01	5.281028e-07
2.650000000000000e+01	5.301030e-07
2.660000000000000e+01	5.321031e-07
2.670000000000000e+01	5.341032e-07
2.680000000000000e+01	5.361032e-07
2.690000000000000e+01	5.381033e-07
2.700000000000000e+01	5.401034e-07
2.710000000000000e+01	5.421035e-07
2.720000000000000e+01	5.441036e-07
2.730000000000000e+01	5.461038e-07
2.740000000000000e+01	5.481039e-07
2.750000000000000e+01	5.501039e-07
2.760000000000000e+01	5.521040e-07
2.770000000000000e+01	5.541041e-07
2.780000000000000e+01	5.561042e-07
2.790000000000000e+01	5.581043e-07
2.800000000000000e+01	5.601045e-07
2.810000000000000e+01	5.621046e-07
2.820000000000000e+01	5.641047e-07
2.830000000000000e+01	5.661047e-07
2.840000000000000e+01	5.681048e-07
