Time;Urms-1;Urms-2;Udc-2;Uac-1;Uac-2;Irms-1;Irms-2;Idc-2;Iac-1;Iac-2;P-1;P-2;PF-1;FreqI-1;Eta1;Ithd-1
15:20:31;229,91;396,73;396,73;229,91;0;0;0;0,005;0;0;22;2;---O F---;Error    ;8,791;32,227
15:21:11;229,88;396,75;396,75;229,88;0;0,323;0,128;0,125;0,323;0;69;50;0,9314;Error    ;71,872;10,757
15:21:40;229,61;396,62;396,61;229,61;0;2,055;1,136;1,131;2,055;0;470;449;0,9953;49,998;95,571;2,031
15:21:57;229,24;396,77;396,76;229,24;0;4,462;2,521;2,519;4,462;0;1022;1000;0,9996;49,999;97,753;0,901
15:22:18;228,89;396,78;396,77;228,89;0;6,675;3,788;3,785;6,675;0,146;1528;1502;0,9998;49,999;98,293;0,644
15:22:43;228,52;396,7;396,68;228,52;3,74;8,896;5,052;5,048;8,896;0,199;2033;2002;0,9999;50,001;98,494;0,491
15:23:06;228,11;396,78;396,75;228,11;4,66;11,124;6,311;6,306;11,124;0,254;2537;2502;0,9999;50,001;98,589;0,532
15:23:30;227,75;396,85;396,81;227,75;5,58;13,365;7,572;7,566;13,365;0,313;3044;3001;0,9999;50,001;98,612;0,428
15:23:55;227,46;396,8;396,75;227,46;6,5;15,616;8,837;8,829;15,616;0,375;3552;3502;0,9999;50;98,595;0,402
15:24:22;227,13;396,75;396,68;227,13;7,41;17,883;10,104;10,094;17,883;0,444;4062;4002;0,9999;50,001;98,541;0,362
15:25:43;226,8;397,02;396,93;226,8;8,15;20,149;11,366;11,345;20,149;0,687;4569;4501;0,9999;50;98,504;0,465
15:27:30;226,38;396,74;396,63;226,38;9,25;22,458;12,634;12,621;22,457;0,588;5084;5002;0,9999;50;98,4;0,337
15:28:41;229,78;396,71;396,71;229,78;0;0,969;0,51;0,509;0,969;0;221;202;0,994;Error    ;91,28;4,152
15:29:08;226,49;396,92;396,81;226,49;9,15;22,167;12,478;12,464;22,167;0,586;5020;4943;0,9999;50;98,464;0,393
15:31:10;228,57;396,87;396,85;228,57;3,73;8,888;5,048;5,044;8,888;0,199;2031;2002;0,9999;50,002;98,537;0,565
