filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
50;1,000000e+00;5,315195e+01;4,999807e+01;4,046324e+00;9,237348e+01;8,435524e-01;9,144730e-03;0,000000e+00;5,584301e-03;0,000000e+00;8,288858e-01;1,806678e+00;1,582938e-01;1,203342e+00;1,148490e+00;5,485269e-02;1,958743e-02;8,882475e-03;1,070496e-02;3,526526e-02;3,445726e-02;1,963243e-02;1,482482e-02;1,690082e+02
150;1,000000e+00;1,525265e+02;1,499993e+02;4,219972e+00;9,723327e+01;8,516311e-01;1,029142e-02;0,000000e+00;7,080835e-03;0,000000e+00;8,342597e-01;1,807505e+00;1,563961e-01;1,365128e+00;1,305659e+00;5,946829e-02;2,395283e-02;9,377015e-03;1,457582e-02;3,551546e-02;3,931156e-02;2,356951e-02;1,574206e-02;8,549644e+01
200;1,000000e+00;2,026680e+02;2,000006e+02;4,538996e+00;9,776038e+01;8,590325e-01;1,145833e-02;5,810420e-05;8,294596e-03;0,000000e+00;8,392232e-01;1,810174e+00;1,563133e-01;1,670031e+00;1,605719e+00;6,431122e-02;2,854705e-02;1,054673e-02;1,800032e-02;3,576417e-02;4,344467e-02;2,769944e-02;1,574523e-02;6,887983e+01
250;1,000000e+00;2,525975e+02;2,500016e+02;4,835733e+00;9,808560e+01;8,680271e-01;1,283069e-02;1,931454e-04;9,819707e-03;1,095318e-04;8,450633e-01;1,813532e+00;1,568221e-01;1,948932e+00;1,878706e+00;7,022586e-02;3,401617e-02;1,216109e-02;2,185508e-02;3,620969e-02;4,841992e-02;3,261941e-02;1,580050e-02;5,826058e+01
300;1,000000e+00;3,026205e+02;2,999999e+02;5,143480e+00;9,830035e+01;8,786019e-01;1,442955e-02;2,863614e-04;1,150352e-02;2,307537e-04;8,521540e-01;1,817927e+00;1,576593e-01;2,234978e+00;2,157634e+00;7,734389e-02;4,055969e-02;1,423833e-02;2,632137e-02;3,678420e-02;5,431459e-02;3,848389e-02;1,583070e-02;5,082366e+01
350;1,000000e+00;3,526808e+02;3,499994e+02;5,533907e+00;9,843090e+01;8,911473e-01;1,638327e-02;4,073390e-04;1,355382e-02;3,656633e-04;8,604437e-01;1,822485e+00;1,609247e-01;2,598217e+00;2,512396e+00;8,582079e-02;4,811058e-02;1,666730e-02;3,144328e-02;3,771021e-02;6,113346e-02;4,525915e-02;1,587431e-02;4,408189e+01
400;1,000000e+00;4,027330e+02;3,999999e+02;6,075123e+00;9,849153e+01;9,034832e-01;1,816617e-02;4,851726e-04;1,540163e-02;4,524230e-04;8,689800e-01;1,827687e+00;1,621599e-01;3,113108e+00;3,017427e+00;9,568142e-02;5,649119e-02;1,934852e-02;3,714266e-02;3,919023e-02;6,868445e-02;5,277965e-02;1,590480e-02;3,919770e+01
450;1,000000e+00;4,527773e+02;4,500005e+02;7,389005e+00;9,836807e+01;9,122336e-01;1,955653e-02;5,209179e-04;1,667543e-02;4,846838e-04;8,750167e-01;1,833321e+00;1,588036e-01;4,408204e+00;4,301729e+00;1,064750e-01;6,508391e-02;2,226163e-02;4,282228e-02;4,139104e-02;7,644208e-02;6,049986e-02;1,594222e-02;3,450813e+01
500;1,000000e+00;5,028088e+02;5,000025e+02;8,647499e+00;9,828016e+01;9,298409e-01;2,220234e-02;6,819464e-04;1,928636e-02;6,417896e-04;8,870274e-01;1,841808e+00;1,630785e-01;5,626132e+00;5,505824e+00;1,203079e-01;7,641575e-02;2,594645e-02;5,046930e-02;4,389217e-02;8,664062e-02;7,066681e-02;1,597381e-02;3,118384e+01
550;1,000000e+00;5,528501e+02;5,500036e+02;8,973215e+00;9,837692e+01;9,474097e-01;2,473646e-02;8,161036e-04;2,188109e-02;7,805002e-04;8,991911e-01;1,849366e+00;1,663560e-01;5,912569e+00;5,777196e+00;1,353732e-01;8,849152e-02;2,985123e-02;5,864029e-02;4,688171e-02;9,751430e-02;8,151219e-02;1,600211e-02;2,918521e+01
600;1,000000e+00;6,028982e+02;6,000046e+02;9,414455e+00;9,843847e+01;9,661724e-01;2,740352e-02;9,535532e-04;2,453468e-02;9,208731e-04;9,123570e-01;1,857464e+00;1,701461e-01;6,311532e+00;6,159764e+00;1,517685e-01;1,014366e-01;3,391388e-02;6,752272e-02;5,033187e-02;1,091403e-01;9,314622e-02;1,599412e-02;2,783595e+01
650;1,000000e+00;6,529438e+02;6,500061e+02;9,929128e+00;9,847933e+01;9,862763e-01;3,022809e-02;1,096920e-03;2,737008e-02;1,071359e-03;9,265039e-01;1,866144e+00;1,708383e-01;6,784198e+00;6,614873e+00;1,693252e-01;1,154042e-01;3,826545e-02;7,713876e-02;5,392097e-02;1,216715e-01;1,056941e-01;1,597743e-02;2,502337e+01
700;1,000000e+00;7,029961e+02;7,000074e+02;1,053480e+01;9,850144e+01;1,007930e+00;3,325970e-02;1,262658e-03;3,042123e-02;1,238603e-03;9,417449e-01;1,875988e+00;1,722858e-01;7,343439e+00;7,155442e+00;1,879963e-01;1,304299e-01;4,286357e-02;8,756635e-02;5,756640e-02;1,351587e-01;1,191873e-01;1,597131e-02;2,265617e+01
750;1,000000e+00;7,530565e+02;7,500088e+02;1,098364e+01;9,854146e+01;1,031860e+00;3,664873e-02;1,443203e-03;3,376583e-02;1,410062e-03;9,585870e-01;1,886691e+00;1,748532e-01;7,740361e+00;7,532244e+00;2,081177e-01;1,468190e-01;4,791125e-02;9,890773e-02;6,129876e-02;1,498690e-01;1,339098e-01;1,595913e-02;2,101428e+01
800;1,000000e+00;8,031231e+02;8,000104e+02;1,135446e+01;9,858621e+01;1,057539e+00;4,031613e-02;1,635209e-03;3,740385e-02;1,590567e-03;9,765885e-01;1,897983e+00;1,777196e-01;8,055944e+00;7,826370e+00;2,295738e-01;1,644465e-01;5,341090e-02;1,110356e-01;6,512725e-02;1,652794e-01;1,497578e-01;1,552164e-02;1,972986e+01
850;1,000000e+00;8,531942e+02;8,500122e+02;1,167352e+01;9,863179e+01;1,085151e+00;4,424195e-02;1,838891e-03;4,135698e-02;1,804244e-03;9,959049e-01;1,910019e+00;1,803968e-01;8,315737e+00;8,063343e+00;2,523943e-01;1,833313e-01;5,933946e-02;1,239919e-01;6,906291e-02;1,822186e-01;1,667346e-01;1,548405e-02;1,848963e+01
900;1,000000e+00;9,032694e+02;9,000143e+02;1,194281e+01;9,867782e+01;1,114413e+00;4,841156e-02;2,047830e-03;4,552142e-02;2,015325e-03;1,016414e+00;1,922537e+00;1,832322e-01;8,522519e+00;8,246156e+00;2,763633e-01;2,032763e-01;6,556738e-02;1,377089e-01;7,308701e-02;2,001105e-01;1,846657e-01;1,544480e-02;1,746756e+01
950;1,000000e+00;9,533489e+02;9,500166e+02;1,217559e+01;9,872286e+01;1,145324e+00;5,281689e-02;2,268352e-03;4,992084e-02;2,231524e-03;1,038083e+00;1,935852e+00;1,862396e-01;8,688692e+00;8,387084e+00;3,016078e-01;2,243958e-01;7,217292e-02;1,522229e-01;7,721201e-02;2,194800e-01;2,036639e-01;1,581616e-02;1,651342e+01
1000;1,000000e+00;1,003433e+03;1,000019e+03;1,241410e+01;9,876284e+01;1,177945e+00;5,742240e-02;2,496448e-03;5,454618e-02;2,465213e-03;1,060994e+00;1,949947e+00;1,896474e-01;8,856972e+00;8,528895e+00;3,280776e-01;2,466559e-01;7,913069e-02;1,675252e-01;8,142169e-02;2,395867e-01;2,236908e-01;1,589592e-02;1,569194e+01
1050;1,000000e+00;1,053521e+03;1,050022e+03;1,265728e+01;9,879857e+01;1,212326e+00;6,227086e-02;2,743834e-03;5,941205e-02;2,719294e-03;1,085159e+00;1,964837e+00;1,931466e-01;9,026344e+00;8,670595e+00;3,557498e-01;2,700807e-01;8,646473e-02;1,836160e-01;8,566915e-02;2,606228e-01;2,447855e-01;1,583728e-02;1,489881e+01
1100;1,000000e+00;1,103614e+03;1,100025e+03;1,290459e+01;9,883070e+01;1,247906e+00;6,725668e-02;3,013429e-03;6,442513e-02;2,977503e-03;1,110231e+00;1,980468e+00;1,968048e-01;9,196779e+00;8,812225e+00;3,845539e-01;2,945839e-01;9,411806e-02;2,004658e-01;8,997007e-02;2,826325e-01;2,668561e-01;1,577642e-02;1,424892e+01
