filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
50;1,000000e+00;6,721010e+01;6,720184e+01;6,720141e+01;6,717631e+01;6,716930e+01;6,717964e+01;5,765303e+01;4,433675e+01;4,456618e+01;3,715597e+01;3,730000e+01
150;1,000000e+00;6,713731e+01;6,712840e+01;6,712764e+01;6,710149e+01;6,709626e+01;6,710722e+01;5,759624e+01;4,434020e+01;4,456886e+01;3,715797e+01;3,730158e+01
200;1,000000e+00;6,712852e+01;6,711818e+01;6,711994e+01;6,709428e+01;6,708664e+01;6,709955e+01;5,758963e+01;4,434639e+01;4,457476e+01;3,716176e+01;3,730518e+01
250;1,000000e+00;6,711031e+01;6,711069e+01;6,711208e+01;6,708459e+01;6,708089e+01;6,708258e+01;5,758112e+01;4,435414e+01;4,458218e+01;3,716649e+01;3,730972e+01
300;1,000000e+00;6,709880e+01;6,709708e+01;6,710036e+01;6,707085e+01;6,706395e+01;6,706890e+01;5,757065e+01;4,436343e+01;4,459147e+01;3,717217e+01;3,731540e+01
350;1,000000e+00;6,709196e+01;6,708528e+01;6,709460e+01;6,706780e+01;6,705346e+01;6,706299e+01;5,756499e+01;4,437422e+01;4,460208e+01;3,717878e+01;3,732189e+01
400;1,000000e+00;6,708540e+01;6,708410e+01;6,709042e+01;6,706760e+01;6,705499e+01;6,705729e+01;5,756290e+01;4,438628e+01;4,461394e+01;3,718615e+01;3,732914e+01
450;1,000000e+00;6,708264e+01;6,707818e+01;6,706910e+01;6,704684e+01;6,704077e+01;6,705858e+01;5,755469e+01;4,439927e+01;4,462705e+01;3,719411e+01;3,733717e+01
500;1,000000e+00;6,713343e+01;6,713398e+01;6,713835e+01;6,710773e+01;6,709767e+01;6,710251e+01;5,759819e+01;4,441504e+01;4,464273e+01;3,720375e+01;3,734676e+01
550;1,000000e+00;6,713822e+01;6,714300e+01;6,714534e+01;6,711880e+01;6,711121e+01;6,711161e+01;5,760521e+01;4,443378e+01;4,466163e+01;3,721523e+01;3,735835e+01
