W;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;GaN_total_losses;GaN_switching_losses;GaN_ohmic_losses;L_losses;iTHD;Load_average1:16;Load_average1:17;Load_average1:18
50;2;52,417524824988654;50,000004460232937;2,8493555850640004;94,564116499885984;0,81340487984748699;0,0084921482984344522;0;0,0047053516831239107;0;0,80020697125291318;0,93967580460514433;0,88767209800368418;0,052003706603857003;1,0631919392036528;5,2739353329143217;0,03114840904702201;0,0019345523563762202;0,033082961403376618
100;2;102,4201510047718;100,00002389832265;2,8966378666880082;97,171808639654813;0,81432165694433067;0,008904009062789188;0;0,0052062748389809363;0;0,80021096406701764;0,98337444086926329;0,92983871991226785;0,053535720956135145;1,0627033012153435;2,7130739713341883;0,034335231421687963;0,0019032362396141384;0,036238467661313577
150;2;152,42470085196913;150,00007495677517;3,0221922658529947;98,017255574508269;0,81601046045659897;0,0096634319186049526;0;0,0061288801601597749;0;0,80021775566723796;1,102003906959222;1,0459240655510664;0,056079841410065612;1,0626372048104893;1,8345927930852024;0,039668455713234442;0,001872237908104661;0,041540693621439612
300;2;302,45004698834043;300,00054769139791;3,9253572889612456;98,702146911101849;0,82489955582342767;0,013760096490359227;0,00017130679153360933;0,010716351799981609;0;0,80025145938985198;1,9648767047270772;1,8949728263316226;0,069903878394516852;1,0663704880056712;0,94323208469159781;0,067569418875276718;0,001641121529053313;0,06921054040448453
350;2;352,46196996512492;350,0008567198297;4,3041494197822789;98,778832959821898;0,82857916723183955;0,015422557405049452;0,00026655157030100349;0,012438899529473815;0,00018515203476915086;0,80026567546855409;2,3259173427696931;2,2493890712402478;0,076528271532386061;1,0680450887888919;0,8052569857420222;0,080048467771918944;0,0015593532175262673;0,081607820989357774
400;2;402,47591367208207;400,00126512908321;4,8516787646076782;98,794541838056418;0,83255966622771271;0,017328011130404605;0,00034620622555721245;0,014326883828040907;0,00027693853594410714;0,80028130400516795;2,8530239456430886;2,7685253100030907;0,084498635644674747;1,0704032604217051;0,69815773347025056;0,094187029411566259;0,0015048628994006514;0,095691892310952972
450;2;452,49304579600863;450,001717411708;6,2395103492296764;98,62108149599149;0,83767177243651658;0,019616856863090528;0,00047657475687063806;0,016833053180622056;0,0004435873464521929;0,80030138324854561;4,2151897708288661;4,1204270750833505;0,094762695746878206;1,0735301588399098;0,62764072073042576;0,11161348873369548;0,0015051583854364071;0,11311864711918988
500;2;502,51301340423458;500,00234093939639;7,3192085984077435;98,543478797409591;0,84231451013045988;0,021832610883023469;0,00055461751285519091;0,019073997357728564;0,00053025281185543286;0,80032272185928677;5,2681854784165942;5,1623012831646582;0,10588419524993756;1,0770808156324436;0,56392924254118371;0,13015715652854132;0,0014706377032468367;0,13162779423172311
550;2;552,53449487187424;550,00310851916061;7,6281244335447251;98,619430190687439;0,84750625858369144;0,024317605787377527;0,00064889686721062551;0,021568777485368763;0,00062448682575569413;0,80034618023370263;5,5485969674459907;5,4302189780882308;0,11837798935827505;1,080141399497365;0,51142768079424972;0,15061115814948464;0,0012686498629476365;0,15187980801195228
600;2;602,55792278090655;600,0040401258849;8,0228356002030292;98,668537034728772;0,85318622462648686;0,02704103928696977;0,00075539328883636968;0,024278667629276343;0,00073892403321971134;0,80037189247234575;5,9125002685217654;5,7802777572843089;0,13222251122748871;1,0832144106674151;0,46743645650672921;0,17300052387452308;0,00093417251992768764;0,17393469639430967
650;2;652,5829240891951;650,00514030744284;8,4982984723304913;98,697744279552111;0,85917258923115614;0,029943003940434372;0,00086852118061099483;0,027111553300088551;0,00084903588453860484;0,80040016877640063;6,3534157981570649;6,2064958285365499;0,14691996960245457;1,0875064550979505;0,42755078617578585;0,19697054322766269;0,0012330866490153007;0,19820362987621273
700;2;702,61057955869785;700,00643494673534;9,0072691308677211;98,718028253348479;0,86555804158284733;0,032966677351137869;0,00099321192451195324;0,030188372581102799;0,00097986263372340466;0,80042961264985746;6,8254084826339394;6,662796211799753;0,16261227083245394;1,0920565853977156;0,39375303699222391;0,22296677800648151;0,0012792432413804419;0,22424602124828014
750;2;752,64030650955556;750,00792153927512;9,4207675143639289;98,748304147297759;0,87263794176123599;0,036356892815391624;0,0011328239482388241;0,033560790036194374;0,0011240367367917063;0,80046309478565913;7,1985046463687485;7,0189617994695537;0,17954284689841943;1,09698364130279;0,36803872414281835;0,25150442499739467;0,0011368599413807553;0,25264128493876425
800;2;802,67220893963895;800,00961021938861;9,752012975886851;98,785056607707574;0,88023795361958901;0,039989247884101103;0,0012543918200296654;0,03720799018354367;0,0012874701296164014;0,80049855158445382;7,4870826248015048;7,2896641783348208;0,19741844645498235;1,1019447480940452;0,34507673282711576;0,28191861729959977;0,00082903209574888761;0,28274764939481989
850;2;852,70591033225594;850,01151177451288;9,9934196245258882;98,828034438283453;0,88837530782197527;0,043879307536120196;0,001405303903460108;0,04112251446051271;0,0014316935096969016;0,80053618761699707;7,6832130117412234;7,4669025826509348;0,21631042908488629;1,1070245797266229;0,32516494322186729;0,31435483409733517;0,00045189114325116001;0,31480672524044256
900;2;902,74148516428477;900,01364290018341;10,203775828648412;98,869690162284982;0,89702076006549425;0,048015539954655712;0,0015610475542180324;0,045272322638605075;0,0015954118427230427;0,8005761633932863;7,8453060004615836;7,6091407241078679;0,23616527637208001;1,1124900031245111;0,30724570933089651;0,3487067196096158;0,00025234536745119372;0,34895906497695223
950;2;952,77899872778983;950,01602090168683;10,381710100162806;98,910375847940387;0,90615321044878294;0,05239877959282703;0,0017400648987562065;0,049624035562739664;0,0017718591462588336;0,80061817293281723;7,972028899424437;7,71503568968346;0,256993209740143;1,1182551867947288;0,29110085441267181;0,38499504439343535;0,00027775909689675221;0,38527280349059201
