filename;Time / s;GaNFET 1;GaNFET 2;GaNFET 3;GaNFET 4;GaNFET 5;GaNFET 6;MOSFET 7;MOSFET 8
50;1,1000000000000001;28,218594438486218;28,220114466667738;28,218746487163315;28,217284971591898;28,219070481851862;28,216524077204198;25,836721934487418;26,803097513642413
100;1,1000000000000001;28,425156354107227;28,427032113278514;28,425890530058009;28,422597619954473;28,423776794555327;28,421631812904817;26,037009073618826;26,999196229095467
150;1,1000000000000001;28,717174880509216;28,719114709236592;28,718227903192641;28,715917397582274;28,716778641234278;28,714748683552031;26,268197212145516;27,230782919717193
200;1,1000000000000001;29,057872271493785;29,059705038989811;29,059050523233754;29,057332844938685;29,057736483123584;29,056069425567909;26,539304072219359;27,497999760484547
250;1,300000e+00;2,948734e+01;2,948853e+01;2,948856e+01;2,948909e+01;2,948941e+01;2,948788e+01;2,724644e+01;2,819040e+01
300;1,1000000000000001;29,796803947226248;29,797483375936881;29,798405283522076;29,794519269927033;29,794687331798503;29,793889018015623;27,118027976344916;28,066213379116675
350;1,300000e+00;3,029921e+01;3,029919e+01;3,030039e+01;3,030080e+01;3,030011e+01;3,029980e+01;2,795802e+01;2,889907e+01
400;1,300000e+00;3,077614e+01;3,077541e+01;3,077721e+01;3,077792e+01;3,077634e+01;3,077687e+01;2,834190e+01;2,928397e+01
450;1,300000e+00;3,129159e+01;3,129038e+01;3,129265e+01;3,129326e+01;3,129126e+01;3,129231e+01;2,875277e+01;2,968992e+01
500;1,300000e+00;3,182514e+01;3,182412e+01;3,182690e+01;3,182747e+01;3,182514e+01;3,182590e+01;2,917146e+01;3,011117e+01
550;1,300000e+00;3,237282e+01;3,237145e+01;3,237487e+01;3,237543e+01;3,237249e+01;3,237363e+01;2,959944e+01;3,053517e+01
600;1,300000e+00;3,292154e+01;3,292023e+01;3,292379e+01;3,292428e+01;3,292126e+01;3,292244e+01;3,003531e+01;3,096985e+01
650;1,300000e+00;3,348247e+01;3,348095e+01;3,348477e+01;3,348519e+01;3,348197e+01;3,348340e+01;3,048144e+01;3,141754e+01
700;1,300000e+00;3,405239e+01;3,405067e+01;3,405494e+01;3,405535e+01;3,405168e+01;3,405340e+01;3,092766e+01;3,186277e+01
750;1,300000e+00;3,462485e+01;3,462291e+01;3,462740e+01;3,462772e+01;3,462386e+01;3,462581e+01;3,138035e+01;3,231139e+01
800;1,300000e+00;3,519793e+01;3,519574e+01;3,520054e+01;3,520084e+01;3,519669e+01;3,519889e+01;3,183313e+01;3,276092e+01
850;1,300000e+00;3,577309e+01;3,577071e+01;3,577572e+01;3,577594e+01;3,577160e+01;3,577404e+01;3,229133e+01;3,321816e+01
900;1,300000e+00;3,634888e+01;3,634622e+01;3,635161e+01;3,635183e+01;3,634714e+01;3,634989e+01;3,275345e+01;3,368114e+01
950;1,300000e+00;3,692509e+01;3,692218e+01;3,692796e+01;3,692819e+01;3,692314e+01;3,692611e+01;3,321748e+01;3,414816e+01
1000;1,300000e+00;3,750298e+01;3,749986e+01;3,750601e+01;3,750633e+01;3,750090e+01;3,750408e+01;3,368557e+01;3,461613e+01
1050;1,300000e+00;3,808281e+01;3,807942e+01;3,808600e+01;3,808627e+01;3,808046e+01;3,808387e+01;3,415688e+01;3,508699e+01
1100;1,300000e+00;3,866366e+01;3,866000e+01;3,866700e+01;3,866723e+01;3,866104e+01;3,866468e+01;3,463262e+01;3,555957e+01
1150;1,300000e+00;3,924663e+01;3,924269e+01;3,925005e+01;3,925033e+01;3,924376e+01;3,924768e+01;3,511422e+01;3,603580e+01
