filename;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
50;53,20641;49,99891;4,260389;91,98212;0,9623392;0,008952697;0;0,005497393;0;0,9479424;1,808086;0,1590371;1,290916;1,236094;0,05482177;0,01983157;0,008981202;0,01085037;0,0349902;0,04001037;0,03756216;0,002448203;195,279
100;102,7261;99,9984;4,318417;95,79609;0,9752149;0,009424587;0;0,006063585;0;0,9597898;1,808468;0,1578898;1,333369;1,276724;0,05664428;0,02155299;0,009012618;0,01254037;0,0350913;0,04347529;0,04099118;0,002484112;131,9289
150;152,5596;150,0002;4,591843;97,2;0,9752149;0,01037867;0;0,007092734;0;0,9597898;1,808474;0,1585833;1,45641;1,395528;0,06088239;0,02583704;0,01029196;0,01554507;0,03504535;0,05068115;0,04818006;0,002501094;91,07577
200;202,7999;200,0007;4,816991;97,62476;1,028838;0,0112891;0;0,008138368;0;1,009386;1,811827;0,1567914;1,76205;1,697093;0,06495628;0,02963236;0,0111373;0,01849506;0,03532392;0,05748486;0,05499282;0,002492045;76,34975
250;252,7709;250,0013;5,13675;97,96782;1,064429;0,01256128;0,0000929006;0,009482627;0;1,042264;1,815054;0,1565984;2,033389;1,962412;0,07097663;0,03520283;0,01282341;0,02237942;0,0357738;0,0672795;0,06478712;0,00249238;63,90479
300;302,8212;300,0001;5,48674;98,18813;1,107784;0,01411198;0,0002181222;0,01109752;0,0001432097;1,082237;1,819131;0,1574789;2,32346;2,245184;0,07827627;0,04190662;0,01495207;0,02695455;0,03636965;0,07888591;0,07639461;0,002491307;55,12013
350;352,9022;349,9998;5,938723;98,31718;1,168835;0,01624878;0,0003811482;0,01346606;0,0003528042;1,138433;1,82371;0,1634421;2,690388;2,603251;0,08713728;0,04984108;0,01752262;0,03231846;0,03729619;0,09234743;0,08985442;0,002493018;48,27993
400;402,9806;400,0004;6,529665;98,37966;1,218166;0,01801917;0,0004612183;0,01522517;0,0004296042;1,184048;1,828582;0,1647694;3,211187;3,114005;0,09718244;0,05840733;0,02027338;0,03813394;0,03877511;0,1069604;0,1044666;0,002493784;43,12986
450;453,0545;450,0009;7,875444;98,2617;1,247147;0,01933189;0,0004828032;0,01659523;0,0004688857;1,210268;1,83366;0,1631457;4,508626;4,400141;0,1084849;0,0675205;0,02336708;0,04415342;0,04096441;0,122865;0,1203543;0,002510733;38,19278
500;503,1289;500,0026;9,166481;98,1781;1,308466;0,0219888;0,0006519108;0,01887509;0,0005881828;1,266366;1,842115;0,1666372;5,707438;5,585213;0,1222249;0,07877064;0,02700708;0,05176356;0,04345429;0,1418243;0,1393119;0,002512445;34,93333
550;553,2161;550,0037;9,564738;98,27107;1,379746;0,02459175;0,0007949216;0,0214517;0,0007297851;1,332152;1,849703;0,169271;6,001992;5,862992;0,139;0,09279044;0,03154285;0,06124758;0,04620958;0,1640254;0,1615449;0,002480453;32,42818
600;603,3121;600,0048;10,0889;98,32775;1,455418;0,02731998;0,0009386097;0,02416836;0,0008725893;1,402117;1,857708;0,1707381;6,418305;6,262031;0,1562741;0,1066451;0,0359964;0,07064869;0,04962903;0,1867341;0,1842614;0,002472742;29,85806
650;653,4121;650,0062;10,65323;98,3696;1,530181;0,03012709;0,001079579;0,02701383;0,001025351;1,470921;1,866357;0,1708605;6,875436;6,701098;0,1743384;0,1211387;0,04046129;0,08067744;0,05319969;0,2103936;0,2079082;0,002485453;27,24067
700;703,5219;700,0075;11,33647;98,38861;1,615065;0,03319011;0,001213122;0,03013666;0,001162865;1,549337;1,875951;0,1712711;7,437959;7,244018;0,1939406;0,1371212;0,04541847;0,09170271;0,05681944;0,2362279;0,2337447;0,002483224;24,61316
750;753,6439;750,009;11,86621;98,42549;1,708623;0,03656967;0,001361105;0,03357565;0,001298443;1,635792;1,886361;0,1722837;7,834766;7,619764;0,2150015;0,1544695;0,05081058;0,103659;0,060532;0,2641749;0,2616942;0,002480635;22,60202
800;803,7767;800,0108;12,31767;98,46753;1,810493;0,0402054;0,001522137;0,03727163;0,001449515;1,730021;1,897514;0,1746297;8,141212;7,903863;0,2373494;0,1730047;0,05656553;0,1164392;0,06434464;0,2938216;0,2913434;0,00247824;21,18464
850;853,9181;850,0127;12,74635;98,50731;1,92159;0,04409465;0,001721568;0,04126578;0,001677589;1,832711;1,909611;0,1782649;8,411573;8,150385;0,2611885;0,1929249;0,06280201;0,1301229;0,0682636;0,3253103;0,3228353;0,002474953;19,96488
