filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
50;1,000000e+00;7,118648e+01;7,117265e+01;7,117788e+01;7,115602e+01;7,113759e+01;7,115334e+01;6,820412e+01;2,537646e+01;2,569263e+01;2,536806e+01;2,567895e+01
100;1,000000e+00;7,113800e+01;7,112322e+01;7,112821e+01;7,110599e+01;7,108860e+01;7,110542e+01;6,815818e+01;2,538291e+01;2,569900e+01;2,537422e+01;2,568503e+01
200;1,000000e+00;7,352731e+01;7,351076e+01;7,351848e+01;7,349588e+01;7,347655e+01;7,349603e+01;7,039430e+01;2,569951e+01;2,601664e+01;2,568483e+01;2,599665e+01
250;1,000000e+00;7,351006e+01;7,350109e+01;7,351067e+01;7,348597e+01;7,346842e+01;7,347781e+01;7,038323e+01;2,571957e+01;2,603668e+01;2,570401e+01;2,601582e+01
300;1,000000e+00;7,349657e+01;7,348845e+01;7,349988e+01;7,347419e+01;7,345471e+01;7,346572e+01;7,037161e+01;2,574366e+01;2,606093e+01;2,572706e+01;2,603902e+01
350;1,000000e+00;7,349002e+01;7,347689e+01;7,349529e+01;7,347188e+01;7,344237e+01;7,345849e+01;7,036466e+01;2,577168e+01;2,608917e+01;2,575387e+01;2,606605e+01
400;1,000000e+00;7,348428e+01;7,347569e+01;7,348899e+01;7,346970e+01;7,344330e+01;7,345275e+01;7,036151e+01;2,580283e+01;2,612019e+01;2,578369e+01;2,609574e+01
450;1,000000e+00;7,347838e+01;7,347818e+01;7,346542e+01;7,344700e+01;7,343583e+01;7,345116e+01;7,035236e+01;2,583684e+01;2,615471e+01;2,581626e+01;2,612880e+01
500;1,000000e+00;7,353005e+01;7,352681e+01;7,353521e+01;7,350954e+01;7,348918e+01;7,349680e+01;7,040403e+01;2,587699e+01;2,619492e+01;2,585470e+01;2,616730e+01
550;1,000000e+00;7,644193e+01;7,644325e+01;7,644961e+01;7,642596e+01;7,640940e+01;7,641220e+01;7,313293e+01;2,650212e+01;2,682225e+01;2,646830e+01;2,678305e+01
600;1,000000e+00;7,643594e+01;7,644619e+01;7,643403e+01;7,640848e+01;7,640943e+01;7,640435e+01;7,312608e+01;2,655022e+01;2,687055e+01;2,651435e+01;2,682929e+01
