filename;Time / s;Input_power;Output_power;Losses;Efficency;Caps_losses;FL1_losses;HF1_losses;FL2_losses;HF2_losses;Bulkcap_losses;Inductor;EMI;GaN_total;GaN_switching;GaN_ohmic_total;GaN_ohmich_ON;GaN_Forward_conduction;GaN_Reverse_ON_conduction;GaN_Reverse_OFF_conduction;Si_total;Si_conduction;Si_switching;iTHD_percentage
50;1,300000e+00;5,253415e+01;4,999972e+01;4,121177e+00;9,215509e+01;8,150643e-01;9,187002e-03;0,000000e+00;5,667908e-03;0,000000e+00;8,002077e-01;1,807685e+00;1,599956e-01;1,296698e+00;1,240874e+00;5,582403e-02;2,104368e-02;9,774972e-03;1,126871e-02;3,478035e-02;4,173392e-02;3,924891e-02;2,485014e-03;1,825965e+02
100;1,300000e+00;1,025447e+02;1,000000e+02;4,162469e+00;9,594082e+01;8,157765e-01;9,480507e-03;0,000000e+00;6,081555e-03;0,000000e+00;8,002129e-01;1,807747e+00;1,593856e-01;1,335567e+00;1,278536e+00;5,703107e-02;2,214286e-02;9,527988e-03;1,261487e-02;3,488821e-02;4,399309e-02;4,150793e-02;2,485159e-03;1,261797e+02
150;1,300000e+00;1,525596e+02;1,500002e+02;4,291843e+00;9,718678e+01;8,176950e-01;1,037867e-02;0,000000e+00;7,092734e-03;0,000000e+00;8,002225e-01;1,808474e+00;1,585833e-01;1,456410e+00;1,395528e+00;6,088239e-02;2,583704e-02;1,029196e-02;1,554507e-02;3,504535e-02;5,068115e-02;4,818006e-02;2,501094e-03;9,107577e+01
200;1,300000e+00;2,025761e+02;2,000001e+02;4,606892e+00;9,772585e+01;8,202364e-01;1,154804e-02;6,596779e-05;8,390850e-03;0,000000e+00;8,002320e-01;1,811142e+00;1,582216e-01;1,758385e+00;1,692582e+00;6,580321e-02;3,050138e-02;1,152936e-02;1,897202e-02;3,530182e-02;5,890615e-02;5,640446e-02;2,501688e-03;7,113433e+01
250;1,300000e+00;2,525893e+02;2,500004e+02;4,901601e+00;9,805946e+01;8,233843e-01;1,293286e-02;2,000544e-04;9,896687e-03;1,106894e-04;8,002438e-01;1,814516e+00;1,572085e-01;2,037594e+00;1,965639e+00;7,195476e-02;3,619584e-02;1,324520e-02;2,295064e-02;3,575891e-02;6,889865e-02;6,638155e-02;2,517105e-03;5,890173e+01
300;1,300000e+00;3,026022e+02;3,000006e+02;5,209219e+00;9,827853e+01;8,274106e-01;1,472317e-02;3,235704e-04;1,183325e-02;2,722650e-04;8,002577e-01;1,818688e+00;1,603990e-01;2,321783e+00;2,242259e+00;7,952418e-02;4,318189e-02;1,547194e-02;2,770995e-02;3,634229e-02;8,093907e-02;7,842390e-02;2,515170e-03;5,132300e+01
350;1,300000e+00;3,526210e+02;3,500009e+02;5,591902e+00;9,841419e+01;8,311665e-01;1,646840e-02;4,133287e-04;1,364187e-02;3,699536e-04;8,002722e-01;1,823351e+00;1,603423e-01;2,683171e+00;2,595101e+00;8,806954e-02;5,079668e-02;1,788353e-02;3,291315e-02;3,727286e-02;9,387171e-02;9,135580e-02;2,515907e-03;4,410708e+01
400;1,300000e+00;4,026455e+02;4,000012e+02;6,129178e+00;9,847777e+01;8,349784e-01;1,825993e-02;4,941409e-04;1,547865e-02;4,568846e-04;8,002884e-01;1,828261e+00;1,624762e-01;3,194974e+00;3,096817e+00;9,815655e-02;5,940844e-02;2,062719e-02;3,878125e-02;3,874810e-02;1,084891e-01;1,059730e-01;2,516088e-03;3,966317e+01
450;1,300000e+00;4,526723e+02;4,500016e+02;7,428831e+00;9,835889e+01;8,379790e-01;1,976078e-02;5,433235e-04;1,687025e-02;5,016732e-04;8,003029e-01;1,833515e+00;1,587051e-01;4,474448e+00;4,365030e+00;1,094173e-01;6,848309e-02;2,371794e-02;4,476515e-02;4,093425e-02;1,241835e-01;1,216657e-01;2,517827e-03;3,458893e+01
500;1,300000e+00;5,027057e+02;5,000023e+02;8,707129e+00;9,826795e+01;8,425857e-01;2,193391e-02;6,519036e-04;1,906022e-02;6,142415e-04;8,003252e-01;1,841577e+00;1,619529e-01;5,717546e+00;5,594176e+00;1,233698e-01;7,995111e-02;2,744725e-02;5,250386e-02;4,341870e-02;1,434677e-01;1,409472e-01;2,520511e-03;3,166010e+01
