filename;Time / s;GaNFET1_Junction;GaNFET2_Junction;GaNFET3_Junction;GaNFET4_Junction;GaNFET5_Junction;GaNFET6_Junction;GaNFET_Package_temp;MOSFET7_Junction;MOSFET8_Junction;MOSFET7_Package_temp;MOSFET8_Package_temp
50;1,300000e+00;7,404515e+01;7,405511e+01;7,406082e+01;7,404196e+01;7,402061e+01;7,401243e+01;7,089518e+01;2,560263e+01;2,587578e+01;2,559042e+01;2,585900e+01
100;1,300000e+00;7,399419e+01;7,400351e+01;7,400676e+01;7,398775e+01;7,396987e+01;7,396208e+01;7,084653e+01;2,560843e+01;2,588164e+01;2,559600e+01;2,586464e+01
150;1,300000e+00;7,396914e+01;7,397816e+01;7,398289e+01;7,396212e+01;7,394465e+01;7,393744e+01;7,082317e+01;2,562359e+01;2,589682e+01;2,561053e+01;2,587919e+01
200;1,300000e+00;7,396247e+01;7,396943e+01;7,397743e+01;7,395797e+01;7,393637e+01;7,393193e+01;7,081711e+01;2,564349e+01;2,591683e+01;2,562964e+01;2,589842e+01
250;1,300000e+00;7,394075e+01;7,396346e+01;7,396947e+01;7,394800e+01;7,393337e+01;7,391275e+01;7,080654e+01;2,566815e+01;2,594148e+01;2,565335e+01;2,592210e+01
300;1,300000e+00;7,392667e+01;7,394465e+01;7,395331e+01;7,393075e+01;7,391045e+01;7,389520e+01;7,078989e+01;2,569800e+01;2,597155e+01;2,568203e+01;2,595100e+01
350;1,300000e+00;7,391968e+01;7,393032e+01;7,394715e+01;7,392662e+01;7,389788e+01;7,388954e+01;7,078212e+01;2,573075e+01;2,600444e+01;2,571352e+01;2,598263e+01
400;1,300000e+00;7,391195e+01;7,393039e+01;7,394261e+01;7,392479e+01;7,389944e+01;7,388130e+01;7,077889e+01;2,576795e+01;2,604175e+01;2,574930e+01;2,601851e+01
450;1,300000e+00;7,390273e+01;7,391513e+01;7,390868e+01;7,389104e+01;7,387382e+01;7,387971e+01;7,076029e+01;2,580872e+01;2,608230e+01;2,578852e+01;2,605753e+01
500;1,300000e+00;7,397855e+01;7,399787e+01;7,400919e+01;7,398476e+01;7,396083e+01;7,394631e+01;7,083922e+01;2,585691e+01;2,613113e+01;2,583485e+01;2,610447e+01
550;1,300000e+00;7,398551e+01;7,401071e+01;7,401944e+01;7,399831e+01;7,397599e+01;7,395689e+01;7,085003e+01;2,590986e+01;2,618434e+01;2,588577e+01;2,615564e+01
600;1,300000e+00;7,397266e+01;7,401608e+01;7,399660e+01;7,397171e+01;7,397912e+01;7,394089e+01;7,083916e+01;2,596677e+01;2,624128e+01;2,594049e+01;2,621038e+01
650;1,300000e+00;7,400327e+01;7,401530e+01;7,401862e+01;7,399990e+01;7,398389e+01;7,397605e+01;7,085786e+01;2,602749e+01;2,630211e+01;2,599890e+01;2,626889e+01
700;1,300000e+00;7,402354e+01;7,402911e+01;7,406354e+01;7,404248e+01;7,399501e+01;7,399436e+01;7,088140e+01;2,609170e+01;2,636707e+01;2,606064e+01;2,633136e+01
750;1,300000e+00;7,405125e+01;7,406157e+01;7,406660e+01;7,404613e+01;7,403062e+01;7,402161e+01;7,090163e+01;2,616187e+01;2,643767e+01;2,612813e+01;2,639927e+01
800;1,300000e+00;7,407744e+01;7,406527e+01;7,409422e+01;7,407280e+01;7,403221e+01;7,404643e+01;7,091887e+01;2,623660e+01;2,651278e+01;2,619999e+01;2,647150e+01
850;1,300000e+00;7,409483e+01;7,409366e+01;7,411744e+01;7,409645e+01;7,406159e+01;7,406630e+01;7,094099e+01;2,631574e+01;2,659210e+01;2,627610e+01;2,654777e+01
900;1,300000e+00;7,410992e+01;7,411860e+01;7,413321e+01;7,411176e+01;7,408721e+01;7,408164e+01;7,095846e+01;2,639939e+01;2,667599e+01;2,635655e+01;2,662845e+01
950;1,300000e+00;7,412359e+01;7,413264e+01;7,414793e+01;7,412769e+01;7,410243e+01;7,409633e+01;7,097222e+01;2,648715e+01;2,676415e+01;2,644093e+01;2,671323e+01
1000;1,300000e+00;7,413993e+01;7,415002e+01;7,416328e+01;7,414389e+01;7,411796e+01;7,411087e+01;7,098709e+01;2,657884e+01;2,685623e+01;2,652910e+01;2,680178e+01
1050;1,300000e+00;8,087632e+01;8,088701e+01;8,089796e+01;8,087906e+01;8,085537e+01;8,084746e+01;7,729151e+01;2,819774e+01;2,848055e+01;2,811874e+01;2,839675e+01
1100;1,300000e+00;8,089136e+01;8,090318e+01;8,091412e+01;8,089299e+01;8,087085e+01;8,086201e+01;7,730575e+01;2,829996e+01;2,858333e+01;2,821706e+01;2,849560e+01
1150;1,300000e+00;8,090677e+01;8,091868e+01;8,093072e+01;8,090939e+01;8,088717e+01;8,087545e+01;7,732035e+01;2,840664e+01;2,869046e+01;2,831965e+01;2,859864e+01
1200;1,300000e+00;8,092195e+01;8,093469e+01;8,094823e+01;8,092735e+01;8,090312e+01;8,089336e+01;7,733602e+01;2,851758e+01;2,880175e+01;2,842634e+01;2,870567e+01
1250;1,300000e+00;8,093834e+01;8,095033e+01;8,096510e+01;8,094461e+01;8,091909e+01;8,090965e+01;7,735137e+01;2,863236e+01;2,891716e+01;2,853671e+01;2,881664e+01
1300;1,300000e+00;8,095598e+01;8,096714e+01;8,098131e+01;8,096125e+01;8,093621e+01;8,092649e+01;7,736715e+01;2,875089e+01;2,903589e+01;2,865069e+01;2,893081e+01
1350;1,300000e+00;8,097405e+01;8,098380e+01;8,099829e+01;8,097852e+01;8,095279e+01;8,094508e+01;7,738339e+01;2,887330e+01;2,915869e+01;2,876840e+01;2,904889e+01
1400;1,300000e+00;8,099113e+01;8,100090e+01;8,101559e+01;8,099545e+01;8,096981e+01;8,096278e+01;7,739946e+01;2,899889e+01;2,928460e+01;2,888917e+01;2,916997e+01
1450;1,300000e+00;8,100880e+01;8,101774e+01;8,103264e+01;8,101235e+01;8,098704e+01;8,098037e+01;7,741557e+01;2,912773e+01;2,941377e+01;2,901305e+01;2,929417e+01
1500;1,300000e+00;8,102729e+01;8,103523e+01;8,105110e+01;8,103031e+01;8,100430e+01;8,099877e+01;7,743241e+01;2,926041e+01;2,954681e+01;2,914063e+01;2,942209e+01
1550;1,300000e+00;8,296428e+01;8,297371e+01;8,298985e+01;8,296930e+01;8,294220e+01;8,293659e+01;7,924633e+01;2,939640e+01;2,968331e+01;2,927140e+01;2,955336e+01
1600;1,300000e+00;8,298080e+01;8,299071e+01;8,300860e+01;8,298755e+01;8,295982e+01;8,295303e+01;7,926264e+01;2,953537e+01;2,982276e+01;2,940503e+01;2,968745e+01
1650;1,300000e+00;8,299633e+01;8,300893e+01;8,302723e+01;8,300634e+01;8,297727e+01;8,296908e+01;7,927896e+01;2,968251e+01;2,997085e+01;2,954647e+01;2,982980e+01
1700;1,300000e+00;8,301166e+01;8,302627e+01;8,304575e+01;8,302477e+01;8,299515e+01;8,298296e+01;7,929476e+01;2,982671e+01;3,011577e+01;2,968510e+01;2,996914e+01
