vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;2,35482E-13;6,79341E-13;-0,000341893;-0,1;0,00341893
-200;-0,125893;3,73345E-13;1,07608E-12;-0,00043053;-0,125893;0,00341982
-200;-0,158489;5,9188E-13;1,70485E-12;-0,000542121;-0,158489;0,00342055
-200;-0,199526;9,38285E-13;2,70128E-12;-0,00068261;-0,199526;0,00342115
-200;-0,251189;1,48737E-12;4,28046E-12;-0,000859484;-0,251189;0,00342167
-200;-0,316228;2,35771E-12;6,78335E-12;-0,00108217;-0,316228;0,00342212
-200;-0,398107;3,73727E-12;1,07505E-11;-0,00136253;-0,398107;0,00342253
-200;-0,501187;5,92398E-12;1,70389E-11;-0,00171552;-0,501187;0,00342292
-200;-0,630957;9,39009E-12;2,70077E-11;-0,00215997;-0,630957;0,00342332
-200;-0,794328;1,48843E-11;4,28119E-11;-0,00271957;-0,794328;0,00342373
-200;-1;2,35934E-11;6,78701E-11;-0,0034242;-1;0,0034242
-200;-1,25893;3,73989E-11;1,07606E-10;-0,00431149;-1,25893;0,00342474
-200;-1,58489;5,92843E-11;1,70626E-10;-0,00542885;-1,58489;0,00342537
-200;-1,99526;9,39802E-11;2,70593E-10;-0,00683606;-1,99526;0,00342615
-200;-2,51189;1,48989E-10;4,29207E-10;-0,00860847;-2,51189;0,00342709
-200;-3,16228;2,3621E-10;6,80945E-10;-0,0108411;-3,16228;0,00342827
-200;-3,98107;3,74522E-10;0,00000000108063;-0,013654;-3,98107;0,00342973
-200;-5,01187;5,93686E-10;0,00000000171551;-0,0171986;-5,01187;0,00343157
-200;-6,30957;9,41535E-10;0,00000000272457;-0,0216663;-6,30957;0,00343388
-200;-7,94328;0,00000000149344;0,00000000432951;-0,0272994;-7,94328;0,00343679
-200;-10;0,00000000236936;0,00000000688454;-0,0344047;-10;0,00344047
-200;-12,5893;0,00000000376003;0,0000000109567;-0,0433715;-12,5893;0,00344512
-200;-15,8489;0,000000005969;0,0000000174555;-0,0546949;-15,8489;0,00345102
-200;-19,9526;0,00000000947973;0,0000000278408;-0,0690063;-19,9526;0,00345851
-200;-25,1189;0,0000000150638;0,0000000444815;-0,0871134;-25,1189;0,00346805
-200;-31,6228;0,0000000239562;0,0000000711681;-0,110055;-31,6228;0,00348024
-200;-39,8107;0,000000038137;0,000000114084;-0,139173;-39,8107;0,00349587
-200;-50,1187;0,0000000607896;0,000000183123;-0,176218;-50,1187;0,00351601
-200;-63,0957;0,0000000970605;0,000000294007;-0,223493;-63,0957;0,00354212
-200;-79,4328;0,000000155256;0,000000537757;-0,284051;-79,4328;0,00357599
-200;-100;0,000000249115;0,00000101784;-0,362048;-100;0,00362048
-200;-125,893;0,000000401262;0,00000192782;-0,463218;-125,893;0,00367947
-200;-158,489;0,0000006497;0,00000364792;-0,595668;-158,489;0,00375841
-200;-199,526;0,00000105931;0,00000688326;-0,77112;-199,526;0,00386476
-200;-251,189;0,00000174286;0,0000141832;-1,00735;-251,189;0,00401033
-200;-260;0,00000187986;0,00000217314;-1,04945;-260;0,00403634
-190,546;-0,1;2,35482E-13;6,79341E-13;-0,000341893;-0,1;0,00341893
-190,546;-0,125893;3,73345E-13;1,07608E-12;-0,00043053;-0,125893;0,00341982
-190,546;-0,158489;5,9188E-13;1,70485E-12;-0,000542121;-0,158489;0,00342055
-190,546;-0,199526;9,38285E-13;2,70128E-12;-0,00068261;-0,199526;0,00342115
-190,546;-0,251189;1,48737E-12;4,28046E-12;-0,000859484;-0,251189;0,00342167
-190,546;-0,316228;2,35771E-12;6,78335E-12;-0,00108217;-0,316228;0,00342212
-190,546;-0,398107;3,73727E-12;1,07505E-11;-0,00136253;-0,398107;0,00342253
-190,546;-0,501187;5,92398E-12;1,70389E-11;-0,00171552;-0,501187;0,00342292
-190,546;-0,630957;9,39009E-12;2,70077E-11;-0,00215997;-0,630957;0,00342332
-190,546;-0,794328;1,48843E-11;4,28119E-11;-0,00271957;-0,794328;0,00342373
-190,546;-1;2,35934E-11;6,78701E-11;-0,0034242;-1;0,0034242
-190,546;-1,25893;3,73989E-11;1,07606E-10;-0,00431149;-1,25893;0,00342474
-190,546;-1,58489;5,92843E-11;1,70626E-10;-0,00542885;-1,58489;0,00342537
-190,546;-1,99526;9,39802E-11;2,70593E-10;-0,00683606;-1,99526;0,00342615
-190,546;-2,51189;1,48989E-10;4,29207E-10;-0,00860847;-2,51189;0,00342709
-190,546;-3,16228;2,3621E-10;6,80945E-10;-0,0108411;-3,16228;0,00342827
-190,546;-3,98107;3,74522E-10;0,00000000108063;-0,013654;-3,98107;0,00342973
-190,546;-5,01187;5,93686E-10;0,00000000171551;-0,0171986;-5,01187;0,00343157
-190,546;-6,30957;9,41535E-10;0,00000000272457;-0,0216663;-6,30957;0,00343388
-190,546;-7,94328;0,00000000149344;0,00000000432951;-0,0272994;-7,94328;0,00343679
-190,546;-10;0,00000000236936;0,00000000688454;-0,0344047;-10;0,00344047
-190,546;-12,5893;0,00000000376003;0,0000000109567;-0,0433715;-12,5893;0,00344512
-190,546;-15,8489;0,000000005969;0,0000000174555;-0,0546949;-15,8489;0,00345102
-190,546;-19,9526;0,00000000947973;0,0000000278408;-0,0690063;-19,9526;0,00345851
-190,546;-25,1189;0,0000000150638;0,0000000444815;-0,0871134;-25,1189;0,00346805
-190,546;-31,6228;0,0000000239562;0,0000000711681;-0,110055;-31,6228;0,00348024
-190,546;-39,8107;0,000000038137;0,000000114084;-0,139173;-39,8107;0,00349587
-190,546;-50,1187;0,0000000607896;0,000000183123;-0,176218;-50,1187;0,00351601
-190,546;-63,0957;0,0000000970605;0,000000294007;-0,223493;-63,0957;0,00354212
-190,546;-79,4328;0,000000155256;0,000000537757;-0,284051;-79,4328;0,00357599
-190,546;-100;0,000000249115;0,00000101784;-0,362048;-100;0,00362048
-190,546;-125,893;0,000000401262;0,00000192782;-0,463218;-125,893;0,00367947
-190,546;-158,489;0,0000006497;0,00000364792;-0,595668;-158,489;0,00375841
-190,546;-199,526;0,00000105931;0,00000688326;-0,77112;-199,526;0,00386476
-190,546;-251,189;0,00000174286;0,0000141832;-1,00735;-251,189;0,00401033
-190,546;-260;0,00000187986;0,00000217314;-1,04945;-260;0,00403634
-173,78;-0,1;2,35482E-13;6,79341E-13;-0,000341893;-0,1;0,00341893
-173,78;-0,125893;3,73345E-13;1,07608E-12;-0,00043053;-0,125893;0,00341982
-173,78;-0,158489;5,9188E-13;1,70485E-12;-0,000542121;-0,158489;0,00342055
-173,78;-0,199526;9,38285E-13;2,70128E-12;-0,00068261;-0,199526;0,00342115
-173,78;-0,251189;1,48737E-12;4,28046E-12;-0,000859484;-0,251189;0,00342167
-173,78;-0,316228;2,35771E-12;6,78335E-12;-0,00108217;-0,316228;0,00342212
-173,78;-0,398107;3,73727E-12;1,07505E-11;-0,00136253;-0,398107;0,00342253
-173,78;-0,501187;5,92398E-12;1,70389E-11;-0,00171552;-0,501187;0,00342292
-173,78;-0,630957;9,39009E-12;2,70077E-11;-0,00215997;-0,630957;0,00342332
-173,78;-0,794328;1,48843E-11;4,28119E-11;-0,00271957;-0,794328;0,00342373
-173,78;-1;2,35934E-11;6,78701E-11;-0,0034242;-1;0,0034242
-173,78;-1,25893;3,73989E-11;1,07606E-10;-0,00431149;-1,25893;0,00342474
-173,78;-1,58489;5,92843E-11;1,70626E-10;-0,00542885;-1,58489;0,00342537
-173,78;-1,99526;9,39802E-11;2,70593E-10;-0,00683606;-1,99526;0,00342615
-173,78;-2,51189;1,48989E-10;4,29207E-10;-0,00860847;-2,51189;0,00342709
-173,78;-3,16228;2,3621E-10;6,80945E-10;-0,0108411;-3,16228;0,00342827
-173,78;-3,98107;3,74522E-10;0,00000000108063;-0,013654;-3,98107;0,00342973
-173,78;-5,01187;5,93686E-10;0,00000000171551;-0,0171986;-5,01187;0,00343157
-173,78;-6,30957;9,41535E-10;0,00000000272457;-0,0216663;-6,30957;0,00343388
-173,78;-7,94328;0,00000000149344;0,00000000432951;-0,0272994;-7,94328;0,00343679
-173,78;-10;0,00000000236936;0,00000000688454;-0,0344047;-10;0,00344047
-173,78;-12,5893;0,00000000376003;0,0000000109567;-0,0433715;-12,5893;0,00344512
