vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;3,71203E-13;1,18417E-12;-0,000538453;-0,1;0,00538453
-200;-0,125893;5,88529E-13;1,87643E-12;-0,000678057;-0,125893;0,005386
-200;-0,158489;9,33033E-13;2,97394E-12;-0,000853816;-0,158489;0,00538722
-200;-0,199526;1,47913E-12;4,71476E-12;-0,0010751;-0,199526;0,00538826
-200;-0,251189;2,34477E-12;7,47656E-12;-0,0013537;-0,251189;0,00538919
-200;-0,316228;3,71692E-12;1,18596E-11;-0,00170448;-0,316228;0,00539004
-200;-0,398107;5,89199E-12;1,88184E-11;-0,00214614;-0,398107;0,00539087
-200;-0,501187;9,33985E-12;2,98723E-11;-0,00270226;-0,501187;0,00539172
-200;-0,630957;1,48054E-11;4,74419E-11;-0,00340252;-0,630957;0,00539263
-200;-0,794328;2,34698E-11;7,53892E-11;-0,00428433;-0,794328;0,00539365
-200;-1;3,72057E-11;1,19886E-10;-0,00539484;-1;0,00539484
-200;-1,25893;5,89937E-11;1,90815E-10;-0,0067935;-1,25893;0,00539627
-200;-1,58489;9,35292E-11;3,04041E-10;-0,00855525;-1,58489;0,005398
-200;-1,99526;1,48175E-10;4,85114E-10;-0,0107747;-1,99526;0,00540013
-200;-2,51189;2,34955E-10;7,75328E-10;-0,0135712;-2,51189;0,00540279
-200;-3,16228;3,72603E-10;0,00000000124172;-0,0170956;-3,16228;0,00540611
-200;-3,98107;5,90981E-10;0,00000000199373;-0,0215387;-3,98107;0,00541028
-200;-5,01187;9,37531E-10;0,00000000321106;-0,0271419;-5,01187;0,00541553
-200;-6,30957;0,00000000148766;0,00000000519103;-0,0342115;-6,30957;0,00542216
-200;-7,94328;0,00000000236136;0,00000000842774;-0,0431364;-7,94328;0,00543055
-200;-10;0,00000000374968;0,0000000137915;-0,0544119;-10;0,00544119
-200;-12,5893;0,00000000595733;0,0000000227425;-0,0686708;-12,5893;0,00545471
-200;-15,8489;0,00000000947112;0,0000000377862;-0,0867248;-15,8489;0,00547197
-200;-19,9526;0,0000000150705;0,0000000632993;-0,109621;-19,9526;0,00549406
-200;-25,1189;0,0000000240072;0,000000106955;-0,138718;-25,1189;0,00552246
-200;-31,6228;0,0000000383014;0,000000182235;-0,175797;-31,6228;0,00555917
-200;-39,8107;0,0000000612081;0,000000320232;-0,223211;-39,8107;0,00560681
-200;-50,1187;0,0000000980974;0,000000561518;-0,28414;-50,1187;0,00566933
-200;-63,0957;0,000000157764;0,000000995693;-0,362925;-63,0957;0,00575197
-200;-79,4328;0,00000025491;0,00000178383;-0,465723;-79,4328;0,00586311
