vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;0,00000000272423;2,56694E-11;-1,78371;-0,0991081;17,9976
-200;-0,125893;0,00000000459676;3,12939E-11;-1,80434;-0,124757;14,4629
-200;-0,158489;0,00000000691509;4,11926E-11;-1,82503;-0,157043;11,6212
-200;-0,199526;0,00000000998235;4,27244E-10;-1,84576;-0,197685;9,3369
-200;-0,251189;0,0000000139963;8,92776E-10;-1,86657;-0,248844;7,50096
-200;-0,316228;0,0000000191705;4,65925E-10;-1,88746;-0,313243;6,02555
-200;-0,398107;0,0000000259658;1,06666E-10;-1,90846;-0,394308;4,84002
-200;-0,501187;0,0000000312841;6,40723E-11;-1,92959;-0,496352;3,88755
-200;-0,630957;0,0000000439414;1,94992E-10;-1,95089;-0,624803;3,12241
-200;-0,794328;0,0000000542453;2,11808E-10;-1,9724;-0,786495;2,50784
-200;-1;0,0000000750231;1,51242E-10;-1,99418;-0,990029;2,01426
-200;-1,25893;0,0000000856152;4,07765E-10;-2,01628;-1,24623;1,6179
-200;-1,58489;0,000000117584;5,53616E-10;-2,03881;-1,56874;1,29965
-200;-1,99526;0,000000166386;6,05665E-10;-2,06187;-1,97469;1,04415
-200;-2,51189;0,000000206105;6,4771E-10;-2,0856;-2,48569;0,839041
-200;-3,16228;0,000000270542;9,57242E-10;-2,11018;-3,12891;0,674413
-200;-3,98107;0,000000320182;9,83617E-10;-2,13585;-3,93856;0,542292
-200;-5,01187;0,000000375764;0,00000000132167;-2,1629;-4,95767;0,436273
-200;-6,30957;0,000000525381;0,00000000140099;-2,19172;-6,24043;0,351213
-200;-7,94328;0,000000641567;0,00000000192313;-2,22286;-7,855;0,282987
-200;-10;0,000000797357;0,00000000203622;-2,25704;-9,88715;0,22828
-200;-12,5893;0,00000109708;0,00000000253983;-2,29456;-12,4448;0,184379
-200;-15,8489;0,00000129678;0,0000000030259;-2,33701;-15,6637;0,149199
-200;-19,9526;0,00000183576;0,00000000355703;-2,38697;-19,7145;0,121077
-200;-25,1189;0,00000227176;0,00000000430985;-2,44439;-24,8119;0,0985168
-200;-31,6228;0,00000319444;0,00000000503398;-2,5142;-31,2252;0,080518
-200;-39,8107;0,00000380167;0,00000000579597;-2,59632;-39,2939;0,0660744
-200;-50,1187;0,00000538711;0,00000000679549;-2,69916;-49,4423;0,054592
-200;-63,0957;0,00000708322;0,00000000767517;-2,82573;-62,2043;0,0454266
-200;-79,4328;0,00000920418;0,00000000838326;-2,98207;-78,2485;0,0381102
-200;-100;0,0000120915;0,0000000094285;-3,17493;-98,4125;0,0322615
-200;-125,893;0,0000166936;0,000000106539;-3,41051;-123,746;0,0275606
-200;-158,489;0,0000234158;0,000000011944;-3,70566;-155,553;0,0238225
-200;-199,526;0,0000288048;0,0000000178112;-4,06332;-195,473;0,0207872
-200;-251,189;0,0000424885;0,0000000120062;-4,50159;-245,535;0,0183338
-200;-260;0,0000443791;0,00000368073;-4,57961;-254,047;0,0180267
-190,546;-0,1;0,00000000272362;2,69067E-11;-1,78367;-0,0990639;18,0052
-190,546;-0,125893;0,0000000045953;3,27843E-11;-1,8043;-0,1247;14,4691
-190,546;-0,158489;0,00000000691405;4,2902E-11;-1,82499;-0,156971;11,6262
-190,546;-0,199526;0,00000000998115;4,8262E-10;-1,84572;-0,197594;9,34101
-190,546;-0,251189;0,0000000140009;6,90812E-11;-1,86653;-0,248728;7,50429
-190,546;-0,316228;0,0000000191532;4,42644E-10;-1,88742;-0,313095;6,02826
-190,546;-0,398107;0,0000000259554;1,11711E-10;-1,90842;-0,39412;4,84223
-190,546;-0,501187;0,0000000312667;7,14647E-11;-1,92955;-0,496112;3,88934
-190,546;-0,630957;0,0000000440271;1,84188E-10;-1,95085;-0,624497;3,12387
-190,546;-0,794328;0,0000000590672;2,67475E-10;-1,97236;-0,786106;2,50902
-190,546;-1;0,0000000749613;1,64918E-10;-1,99413;-0,989535;2,01522
-190,546;-1,25893;0,0000000856918;4,21744E-10;-2,01623;-1,2456;1,61868
-190,546;-1,58489;0,000000117543;5,68665E-10;-2,03876;-1,56794;1,30028
-190,546;-1,99526;0,000000166319;6,23245E-10;-2,06182;-1,97367;1,04466
-190,546;-2,51189;0,000000206062;6,74146E-10;-2,08554;-2,48439;0,839457
-190,546;-3,16228;0,000000270442;9,74346E-10;-2,11012;-3,12726;0,674751
-190,546;-3,98107;0,000000320056;0,0000000010192;-2,13579;-3,93645;0,542567
-190,546;-5,01187;0,000000375611;0,00000000136616;-2,16283;-4,95498;0,436496
-190,546;-6,30957;0,000000525182;0,00000000146132;-2,19165;-6,237;0,351395
-190,546;-7,94328;0,000000705639;0,00000000186176;-2,22273;-7,85062;0,283128
-190,546;-10;0,000000787333;0,00000000214332;-2,25691;-9,88156;0,228396
-190,546;-12,5893;0,00000105928;0,00000000266274;-2,29423;-12,4377;0,184458
-190,546;-15,8489;0,00000129542;0,00000000314236;-2,3369;-15,6546;0,149279
-190,546;-19,9526;0,0000018397;0,00000000369935;-2,38681;-19,7027;0,121141
-190,546;-25,1189;0,00000222969;0,00000000358849;-2,44436;-24,7966;0,0985762
-190,546;-31,6228;0,00000318563;0,00000000521332;-2,51397;-31,2056;0,0805617
-190,546;-39,8107;0,00000397871;0,00000000597384;-2,59715;-39,2681;0,0661389
-190,546;-50,1187;0,0000053775;0,00000000703797;-2,69881;-49,4089;0,0546219
-190,546;-63,0957;0,00000715316;0,00000000791639;-2,82546;-62,1601;0,0454545
-190,546;-79,4328;0,00000900593;0,00000000862092;-2,9817;-78,1898;0,0381341
-190,546;-100;0,0000116582;0,00000000967315;-3,1742;-98,3342;0,0322797
-190,546;-125,893;0,0000166431;0,0000000966208;-3,40959;-123,64;0,0275768
-190,546;-158,489;0,000023151;0,0000000123635;-3,70434;-155,408;0,0238362
-190,546;-199,526;0,000028609;0,0000000184997;-4,06133;-195,274;0,0207981
-190,546;-251,189;0,0000423281;0,0000000122515;-4,49929;-245,257;0,0183452
-190,546;-260;0,0000442232;0,00000367371;-4,5772;-253,754;0,0180379
-173,78;-0,1;0,00000000272239;2,94301E-11;-1,78358;-0,0989737;18,0208
-173,78;-0,125893;0,00000000459234;3,5268E-11;-1,80422;-0,124586;14,4818
-173,78;-0,158489;0,00000000691192;4,62067E-11;-1,8249;-0,156825;11,6365
-173,78;-0,199526;0,00000000997875;5,61636E-11;-1,84564;-0,197407;9,34939
-173,78;-0,251189;0,0000000140103;6,89702E-11;-1,86644;-0,248491;7,51111
-173,78;-0,316228;0,0000000191181;3,95729E-10;-1,88733;-0,312793;6,0338
-173,78;-0,398107;0,0000000259343;1,21989E-10;-1,90833;-0,393735;4,84673
-173,78;-0,501187;0,0000000312316;8,52978E-11;-1,92946;-0,495623;3,893
-173,78;-0,630957;0,0000000442027;2,21541E-10;-1,95075;-0,623875;3,12684
-173,78;-0,794328;0,0000000588349;2,42205E-10;-1,97226;-0,785313;2,51143
-173,78;-1;0,0000000748357;1,92735E-10;-1,99403;-0,988526;2,01718
-173,78;-1,25893;0,000000085852;4,50187E-10;-2,01613;-1,24432;1,62027
-173,78;-1,58489;0,000000117461;5,99333E-10;-2,03866;-1,5663;1,30157
-173,78;-1,99526;0,000000166182;6,59538E-10;-2,06171;-1,97159;1,04571
-173,78;-2,51189;0,000000205974;7,28199E-10;-2,08543;-2,48174;0,840309
-173,78;-3,16228;0,000000270238;0,00000000101137;-2,11;-3,12388;0,675443
-173,78;-3,98107;0,0000003198;0,00000000109423;-2,13566;-3,93215;0,543128
-173,78;-5,01187;0,000000375299;0,00000000145749;-2,1627;-4,9495;0,436953
-173,78;-6,30957;0,000000524753;0,00000000158365;-2,19151;-6,23;0,351766
-173,78;-7,94328;0,000000654622;0,0000000020739;-2,22257;-7,84169;0,283429
-173,78;-10;0,000000892739;0,0000000030982;-2,2566;-9,87015;0,228629
-173,78;-12,5893;0,00000103671;0,00000000285693;-2,29412;-12,4231;0,184666
-173,78;-15,8489;0,00000132002;0,00000000332065;-2,33664;-15,6358;0,149442
-173,78;-19,9526;0,00000184768;0,00000000398221;-2,38649;-19,6786;0,121273
-173,78;-25,1189;0,00000245088;0,00000000462906;-2,44424;-24,7656;0,0986952
-173,78;-31,6228;0,00000316749;0,00000000556559;-2,51352;-31,1654;0,080651
-173,78;-39,8107;0,0000039406;0,00000000637489;-2,59658;-39,2159;0,0662124
-173,78;-50,1187;0,0000053579;0,0000000075111;-2,69809;-49,3406;0,054683
-173,78;-63,0957;0,00000645364;0,00000000823937;-2,82533;-62,0699;0,0455185
-173,78;-79,4328;0,00000863529;0,000000169803;-2,98087;-78,0703;0,0381819
-173,78;-100;0,0000119909;0,0000000100875;-3,17267;-98,1743;0,0323167
-173,78;-125,893;0,0000165408;0,0000000102999;-3,40774;-123,424;0,0276101
-173,78;-158,489;0,0000226313;0,0000000132898;-3,70167;-155,113;0,0238643
-173,78;-199,526;0,0000281787;0,0000000198027;-4,05727;-194,868;0,0208206
-173,78;-251,189;0,0000419876;0,0000000125672;-4,49461;-244,692;0,0183684
-173,78;-260;0,0000438938;0,00000365528;-4,57233;-253,159;0,0180611
-158,489;-0,1;0,00000000272104;3,21938E-11;-1,7835;-0,0988747;18,0379
-158,489;-0,125893;0,00000000458908;3,85697E-11;-1,80413;-0,124459;14,4957
-158,489;-0,158489;0,00000000690958;5,50269E-11;-1,82481;-0,156665;11,6479
-158,489;-0,199526;0,00000000997619;6,06823E-11;-1,84554;-0,197203;9,35861
-158,489;-0,251189;0,0000000140205;9,39345E-11;-1,86635;-0,248231;7,5186
-158,489;-0,316228;0,000000019199;4,55502E-10;-1,88724;-0,312462;6,03988
-158,489;-0,398107;0,0000000259112;1,33226E-10;-1,90823;-0,393314;4,85167
-158,489;-0,501187;0,0000000311936;1,00378E-10;-1,92936;-0,495086;3,89702
-158,489;-0,630957;0,0000000443965;2,16191E-10;-1,95065;-0,623192;3,1301
-158,489;-0,794328;0,0000000585717;2,68663E-10;-1,97216;-0,784444;2,51408
-158,489;-1;0,0000000746983;2,23083E-10;-1,99392;-0,987419;2,01933
-158,489;-1,25893;0,0000000860339;4,80128E-10;-2,01602;-1,24291;1,62202
-158,489;-1,58489;0,000000117371;6,3287E-10;-2,03854;-1,56451;1,30299
-158,489;-1,99526;0,000000166032;6,99939E-10;-2,06159;-1,96931;1,04686
-158,489;-2,51189;0,000000205877;7,87449E-10;-2,08531;-2,47884;0,841245
