vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;9,48812e-13;1,13481e-09;0,000346323;0,1;0
0,1;0,125893;5,77022e-11;1,1773e-09;0,000435923;0,125893;0
0,1;0,158489;1,35647e-10;1,2216e-09;0,000548682;0,158489;0
0,1;0,199526;2,43028e-10;1,26957e-09;0,000690673;0,199526;0
0,1;0,251189;3,95943e-10;1,32643e-09;0,000869448;0,251189;0
0,1;0,316228;5,78997e-10;1,39006e-09;0,00109444;0,316228;0
0,1;0,398107;8,54306e-10;1,45186e-09;0,00137786;0,398107;0
0,1;0,501187;1,24398e-09;1,5267e-09;0,00173464;0,501187;0
0,1;0,630957;1,70372e-09;1,61412e-09;0,00218379;0,630957;0
0,1;0,794328;2,45861e-09;1,71606e-09;0,00274959;0,794328;0
0,1;1;3,45063e-09;1,85272e-09;0,00346193;1;0
0,1;1,25893;4,85506e-09;2,0566e-09;0,00435928;1,25893;0
0,1;1,58489;6,91812e-09;2,35052e-09;0,00548901;1,58489;0
0,1;1,99526;9,68804e-09;2,72703e-09;0,00691228;1,99526;0
0,1;2,51189;1,44515e-08;3,3746e-09;0,00870537;2,51189;0
0,1;3,16228;2,11345e-08;4,17262e-09;0,0109647;3,16228;0
0,1;3,98107;3,03421e-08;5,3788e-09;0,0138119;3,98107;0
0,1;5,01187;4,49032e-08;7,19147e-09;0,017401;5,01187;0
0,1;6,30957;6,65697e-08;9,63815e-09;0,0219287;6,30957;0
0,1;7,94328;1,05133e-07;1,33741e-08;0,0276418;7,94328;0
0,1;10;1,53639e-07;1,8238e-08;0,0348514;10;0
0,1;12,5893;2,3969e-07;2,62724e-08;0,0439809;12,5893;0
0,1;15,8489;3,77486e-07;3,67686e-08;0,0555469;15,8489;0
0,1;19,9526;5,90029e-07;5,37171e-08;0,0701306;19,9526;0
0,1;25,1189;8,56993e-07;7,62877e-08;0,0885948;25,1189;0
0,1;31,6228;1,30966e-06;1,11659e-07;0,112165;31,6228;0
0,1;39,8107;2,14225e-06;1,68074e-07;0,142257;39,8107;0
0,1;50,1187;3,48316e-06;2,34092e-07;0,180734;50,1187;0
0,1;63,0957;5,41576e-06;3,36237e-07;0,23039;63,0957;0
0,1;79,4328;8,1725e-06;4,84306e-07;0,295085;79,4328;0
0,1;100;1,38224e-05;6,67197e-07;0,380341;100;0
0,1;125,893;2,11569e-05;9,11108e-07;0,495444;125,893;0
0,1;158,489;3,32772e-05;1,20106e-06;0,656736;158,489;0
0,1;199,526;4,96624e-05;1,47377e-06;0,876983;196,125;0
0,1;251,189;5,59925e-05;1,57963e-06;0,956753;207,901;0
0,1;260;5,58524e-05;1,5904e-06;0,963288;208,823;0
0,109648;0,1;6,70974e-13;1,15783e-09;0,000346328;0,1;0
0,109648;0,125893;5,6207e-11;1,20153e-09;0,00043591;0,125893;0
0,109648;0,158489;1,33362e-10;1,24617e-09;0,000548683;0,158489;0
0,109648;0,199526;2,38643e-10;1,29272e-09;0,000690665;0,199526;0
0,109648;0,251189;3,8504e-10;1,34948e-09;0,000869422;0,251189;0
0,109648;0,316228;5,97271e-10;1,41631e-09;0,00109445;0,316228;0
0,109648;0,398107;8,57812e-10;1,47802e-09;0,00137778;0,398107;0
0,109648;0,501187;1,23023e-09;1,55346e-09;0,00173469;0,501187;0
0,109648;0,630957;1,74231e-09;1,63626e-09;0,00218383;0,630957;0
0,109648;0,794328;2,44522e-09;1,74385e-09;0,00274961;0,794328;0
0,109648;1;3,35038e-09;1,8809e-09;0,00346196;1;0
0,109648;1,25893;4,77762e-09;2,0856e-09;0,00435896;1,25893;0
0,109648;1,58489;6,9786e-09;2,36545e-09;0,00548893;1,58489;0
0,109648;1,99526;9,97049e-09;2,78872e-09;0,00691228;1,99526;0
