vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;5,62701e-13;8,22289e-10;0,000539983;0,1;0
0,1;0,125893;4,65775e-11;8,62867e-10;0,000679665;0,125893;0
0,1;0,158489;1,1516e-10;9,06714e-10;0,000855513;0,158489;0
0,1;0,199526;2,16092e-10;9,53563e-10;0,00107691;0,199526;0
0,1;0,251189;3,51821e-10;1,00511e-09;0,00135567;0,251189;0
0,1;0,316228;5,4691e-10;1,0623e-09;0,00170668;0,316228;0
0,1;0,398107;8,20919e-10;1,12587e-09;0,0021486;0,398107;0
0,1;0,501187;1,18253e-09;1,20171e-09;0,00270519;0,501187;0
0,1;0,630957;1,74006e-09;1,29322e-09;0,00340613;0,630957;0
0,1;0,794328;2,53865e-09;1,41313e-09;0,00428853;0,794328;0
0,1;1;3,71216e-09;1,58546e-09;0,00540031;1;0
0,1;1,25893;5,50596e-09;1,83208e-09;0,00680071;1,25893;0
0,1;1,58489;8,12482e-09;2,21023e-09;0,00856496;1,58489;0
0,1;1,99526;1,19867e-08;2,71784e-09;0,0107875;1,99526;0
0,1;2,51189;1,75433e-08;3,46118e-09;0,0135906;2,51189;0
0,1;3,16228;2,64966e-08;4,63782e-09;0,0171233;3,16228;0
0,1;3,98107;4,05759e-08;6,37038e-09;0,0215813;3,98107;0
0,1;5,01187;6,31449e-08;8,65055e-09;0,0272065;5,01187;0
0,1;6,30957;9,40877e-08;1,22711e-08;0,0343036;6,30957;0
0,1;7,94328;1,4569e-07;1,76045e-08;0,0432677;7,94328;0
0,1;10;2,32191e-07;2,57814e-08;0,0546386;10;0
0,1;12,5893;3,46731e-07;3,74662e-08;0,0689912;12,5893;0
0,1;15,8489;5,37911e-07;5,47651e-08;0,0872902;15,8489;0
0,1;19,9526;8,42198e-07;8,04174e-08;0,110557;19,9526;0
0,1;25,1189;1,37056e-06;1,16464e-07;0,140229;25,1189;0
0,1;31,6228;2,16849e-06;1,71971e-07;0,178469;31,6228;0
0,1;39,8107;3,19296e-06;2,3643e-07;0,22785;39,8107;0
0,1;50,1187;5,08133e-06;3,5634e-07;0,29235;50,1187;0
0,1;63,0957;8,32047e-06;5,03241e-07;0,377871;63,0957;0
0,1;79,4328;1,30593e-05;6,98047e-07;0,494585;79,4316;0
0,1;100;2,07908e-05;9,49685e-07;0,659841;99,8488;0
0,1;125,893;2,65894e-05;1,15634e-06;0,811054;115,8;0
0,1;158,489;2,95846e-05;1,25111e-06;0,869672;121,322;0
0,1;199,526;3,14485e-05;1,31639e-06;0,906415;124,602;0
0,1;251,189;3,29449e-05;1,37632e-06;0,934441;127,018;0
0,1;260;3,16059e-05;1,37528e-06;0,938147;127,33;0
0,109648;0,1;3,03996e-13;8,41297e-10;0,000539988;0,1;0
0,109648;0,125893;4,71159e-11;8,83306e-10;0,00067969;0,125893;0
0,109648;0,158489;1,14444e-10;9,26154e-10;0,000855513;0,158489;0
0,109648;0,199526;2,09381e-10;9,74641e-10;0,00107692;0,199526;0
0,109648;0,251189;3,49551e-10;1,02699e-09;0,00135567;0,251189;0
0,109648;0,316228;5,38621e-10;1,08454e-09;0,00170675;0,316228;0
0,109648;0,398107;8,14368e-10;1,14878e-09;0,0021486;0,398107;0
0,109648;0,501187;1,19778e-09;1,22517e-09;0,00270519;0,501187;0
0,109648;0,630957;1,75474e-09;1,31474e-09;0,00340595;0,630957;0
0,109648;0,794328;2,54332e-09;1,43748e-09;0,00428865;0,794328;0
0,109648;1;3,73997e-09;1,61001e-09;0,00540033;1;0
0,109648;1,25893;5,53793e-09;1,86533e-09;0,00680066;1,25893;0
0,109648;1,58489;7,86929e-09;2,2364e-09;0,00856493;1,58489;0
0,109648;1,99526;1,20975e-08;2,72463e-09;0,0107882;1,99526;0
0,109648;2,51189;1,74173e-08;3,56641e-09;0,0135907;2,51189;0
0,109648;3,16228;2,6378e-08;4,67189e-09;0,017123;3,16228;0
0,109648;3,98107;4,03459e-08;6,40558e-09;0,0215808;3,98107;0
0,109648;5,01187;5,93024e-08;8,75088e-09;0,0272039;5,01187;0
0,109648;6,30957;9,34947e-08;1,22983e-08;0,0343048;6,30957;0
0,109648;7,94328;1,44923e-07;1,767e-08;0,0432679;7,94328;0
0,109648;10;2,16105e-07;2,55781e-08;0,0546522;10;0
0,109648;12,5893;3,33903e-07;3,6829e-08;0,068985;12,5893;0
0,109648;15,8489;5,54009e-07;5,73084e-08;0,0872008;15,8489;0
0,109648;19,9526;8,72577e-07;7,79882e-08;0,110531;19,9526;0
0,109648;25,1189;1,38415e-06;1,23873e-07;0,140314;25,1189;0
0,109648;31,6228;2,17187e-06;1,72355e-07;0,178481;31,6228;0
0,109648;39,8107;3,16602e-06;2,49492e-07;0,22778;39,8107;0
0,109648;50,1187;5,36666e-06;3,57169e-07;0,292313;50,1187;0
0,109648;63,0957;8,42426e-06;5,04521e-07;0,377901;63,0957;0
0,109648;79,4328;1,30715e-05;6,99999e-07;0,494586;79,4316;0
0,109648;100;2,07422e-05;9,52724e-07;0,659896;99,8528;0
0,109648;125,893;2,69908e-05;1,16188e-06;0,812226;115,916;0
0,109648;158,489;2,86847e-05;1,25941e-06;0,872302;121,561;0
0,109648;199,526;3,16438e-05;1,32707e-06;0,910315;124,943;0
0,109648;251,189;3,32118e-05;1,381e-06;0,939418;127,438;0
0,109648;260;3,27634e-05;1,38826e-06;0,943268;127,761;0
0,120226;0,1;5,69521e-14;8,61995e-10;0,000539983;0,1;0
0,120226;0,125893;4,64401e-11;9,05923e-10;0,000679662;0,125893;0
0,120226;0,158489;1,13535e-10;9,49274e-10;0,000855542;0,158489;0
0,120226;0,199526;2,09652e-10;9,98139e-10;0,00107689;0,199526;0
0,120226;0,251189;3,46483e-10;1,05119e-09;0,00135569;0,251189;0
0,120226;0,316228;5,36799e-10;1,10857e-09;0,00170667;0,316228;0
0,120226;0,398107;8,06632e-10;1,17419e-09;0,0021487;0,398107;0
0,120226;0,501187;1,19671e-09;1,25117e-09;0,00270512;0,501187;0
0,120226;0,630957;1,75096e-09;1,34363e-09;0,00340593;0,630957;0
0,120226;0,794328;2,54586e-09;1,46447e-09;0,00428835;0,794328;0
0,120226;1;3,76911e-09;1,63795e-09;0,00540021;1;0
0,120226;1,25893;5,39701e-09;1,89251e-09;0,00680089;1,25893;0
0,120226;1,58489;7,98438e-09;2,26522e-09;0,00856496;1,58489;0
0,120226;1,99526;1,20341e-08;2,77806e-09;0,0107889;1,99526;0
0,120226;2,51189;1,78535e-08;3,59939e-09;0,0135907;2,51189;0
0,120226;3,16228;2,73659e-08;4,70926e-09;0,0171235;3,16228;0
0,120226;3,98107;4,12354e-08;6,44402e-09;0,0215803;3,98107;0
0,120226;5,01187;6,22643e-08;8,70665e-09;0,0272066;5,01187;0
0,120226;6,30957;9,11136e-08;1,22532e-08;0,0343046;6,30957;0
0,120226;7,94328;1,47023e-07;1,77395e-08;0,0432756;7,94328;0
0,120226;10;2,20082e-07;2,56721e-08;0,0546814;10;0
0,120226;12,5893;3,35465e-07;3,63007e-08;0,0690238;12,5893;0
0,120226;15,8489;5,23893e-07;5,34748e-08;0,0872991;15,8489;0
0,120226;19,9526;8,78905e-07;8,09099e-08;0,110592;19,9526;0
0,120226;25,1189;1,30592e-06;1,24386e-07;0,140243;25,1189;0
0,120226;31,6228;2,11834e-06;1,72775e-07;0,178468;31,6228;0
0,120226;39,8107;3,20755e-06;2,50112e-07;0,227843;39,8107;0
0,120226;50,1187;5,37486e-06;3,35235e-07;0,292304;50,1187;0
