vds;ids;eon;eoff;vdsreal;idsreal;rdson
-200;-0,1;2,72423e-09;2,56694e-11;1,78371;0,0991081;17,9976
-200;-0,125893;4,59676e-09;3,12939e-11;1,80434;0,124757;14,4629
-200;-0,158489;6,91509e-09;4,11926e-11;1,82503;0,157043;11,6212
-200;-0,199526;9,98235e-09;4,27244e-10;1,84576;0,197685;9,3369
-200;-0,251189;1,39963e-08;8,92776e-10;1,86657;0,248844;7,50096
-200;-0,316228;1,91705e-08;4,65925e-10;1,88746;0,313243;6,02555
-200;-0,398107;2,59658e-08;1,06666e-10;1,90846;0,394308;4,84002
-200;-0,501187;3,12841e-08;6,40723e-11;1,92959;0,496352;3,88755
-200;-0,630957;4,39414e-08;1,94992e-10;1,95089;0,624803;3,12241
-200;-0,794328;5,42453e-08;2,11808e-10;1,9724;0,786495;2,50784
-200;-1;7,50231e-08;1,51242e-10;1,99418;0,990029;2,01426
-200;-1,25893;8,56152e-08;4,07765e-10;2,01628;1,24623;1,6179
-200;-1,58489;1,17584e-07;5,53616e-10;2,03881;1,56874;1,29965
-200;-1,99526;1,66386e-07;6,05665e-10;2,06187;1,97469;1,04415
-200;-2,51189;2,06105e-07;6,4771e-10;2,0856;2,48569;0,839041
-200;-3,16228;2,70542e-07;9,57242e-10;2,11018;3,12891;0,674413
-200;-3,98107;3,20182e-07;9,83617e-10;2,13585;3,93856;0,542292
-200;-5,01187;3,75764e-07;1,32167e-09;2,1629;4,95767;0,436273
-200;-6,30957;5,25381e-07;1,40099e-09;2,19172;6,24043;0,351213
-200;-7,94328;6,41567e-07;1,92313e-09;2,22286;7,855;0,282987
-200;-10;7,97357e-07;2,03622e-09;2,25704;9,88715;0,22828
-200;-12,5893;1,09708e-06;2,53983e-09;2,29456;12,4448;0,184379
-200;-15,8489;1,29678e-06;3,0259e-09;2,33701;15,6637;0,149199
-200;-19,9526;1,83576e-06;3,55703e-09;2,38697;19,7145;0,121077
-200;-25,1189;2,27176e-06;4,30985e-09;2,44439;24,8119;0,0985168
-200;-31,6228;3,19444e-06;5,03398e-09;2,5142;31,2252;0,080518
-200;-39,8107;3,80167e-06;5,79597e-09;2,59632;39,2939;0,0660744
-200;-50,1187;5,38711e-06;6,79549e-09;2,69916;49,4423;0,054592
-200;-63,0957;7,08322e-06;7,67517e-09;2,82573;62,2043;0,0454266
-200;-79,4328;9,20418e-06;8,38326e-09;2,98207;78,2485;0,0381102
-200;-100;1,20915e-05;9,4285e-09;3,17493;98,4125;0,0322615
-200;-125,893;1,66936e-05;1,06539e-07;3,41051;123,746;0,0275606
-200;-158,489;2,34158e-05;1,1944e-08;3,70566;155,553;0,0238225
-200;-199,526;2,88048e-05;1,78112e-08;4,06332;195,473;0,0207872
-200;-251,189;4,24885e-05;1,20062e-08;4,50159;245,535;0,0183338
-200;-260;4,43791e-05;3,68073e-06;4,57961;254,047;0,0180267
-190,546;-0,1;2,72362e-09;2,69067e-11;1,78367;0,0990639;18,0052
-190,546;-0,125893;4,5953e-09;3,27843e-11;1,8043;0,1247;14,4691
-190,546;-0,158489;6,91405e-09;4,2902e-11;1,82499;0,156971;11,6262
-190,546;-0,199526;9,98115e-09;4,8262e-10;1,84572;0,197594;9,34101
-190,546;-0,251189;1,40009e-08;6,90812e-11;1,86653;0,248728;7,50429
-190,546;-0,316228;1,91532e-08;4,42644e-10;1,88742;0,313095;6,02826
-190,546;-0,398107;2,59554e-08;1,11711e-10;1,90842;0,39412;4,84223
-190,546;-0,501187;3,12667e-08;7,14647e-11;1,92955;0,496112;3,88934
-190,546;-0,630957;4,40271e-08;1,84188e-10;1,95085;0,624497;3,12387
-190,546;-0,794328;5,90672e-08;2,67475e-10;1,97236;0,786106;2,50902
-190,546;-1;7,49613e-08;1,64918e-10;1,99413;0,989535;2,01522
-190,546;-1,25893;8,56918e-08;4,21744e-10;2,01623;1,2456;1,61868
-190,546;-1,58489;1,17543e-07;5,68665e-10;2,03876;1,56794;1,30028
-190,546;-1,99526;1,66319e-07;6,23245e-10;2,06182;1,97367;1,04466
-190,546;-2,51189;2,06062e-07;6,74146e-10;2,08554;2,48439;0,839457
-190,546;-3,16228;2,70442e-07;9,74346e-10;2,11012;3,12726;0,674751
-190,546;-3,98107;3,20056e-07;1,0192e-09;2,13579;3,93645;0,542567
-190,546;-5,01187;3,75611e-07;1,36616e-09;2,16283;4,95498;0,436496
-190,546;-6,30957;5,25182e-07;1,46132e-09;2,19165;6,237;0,351395
-190,546;-7,94328;7,05639e-07;1,86176e-09;2,22273;7,85062;0,283128
-190,546;-10;7,87333e-07;2,14332e-09;2,25691;9,88156;0,228396
-190,546;-12,5893;1,05928e-06;2,66274e-09;2,29423;12,4377;0,184458
