vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;0,0000000232215;0,000000474539;-0,489304;-0,0999186;4,89702
-601;-0,125893;0,00000000286342;0,000000616881;-0,500905;-0,125788;3,98215
-601;-0,158489;0,00000000152449;0,00000078545;-0,512534;-0,158354;3,23663
-601;-0,199526;0,00000000373567;0,00000101324;-0,524145;-0,199352;2,62924
-601;-0,251189;0,00000000457826;0,00000131319;-0,535837;-0,250965;2,13511
-601;-0,316228;0,00000012022;0,00000168239;-0,547561;-0,31594;1,73312
-601;-0,398107;0,0000000474381;0,00000217889;-0,559238;-0,397737;1,40605
-601;-0,501187;0,00000000438944;0,00000278015;-0,57116;-0,500711;1,1407
-601;-0,630957;0,0000000132003;0,00000358045;-0,583011;-0,630345;0,924907
-601;-0,794328;0,0000000110527;0,000004581;-0,594706;-0,793542;0,749432
-601;-1;0,0000000251894;0,0000058812;-0,607341;-0,998989;0,607955
-601;-1,25893;0,0000000338942;0,00000756317;-0,619628;-1,25763;0,492696
-601;-1,58489;0,0000000222926;0,00000974573;-0,631822;-1,58323;0,399072
-601;-1,99526;0,0000000322207;0,00001251;-0,644542;-1,99312;0,323383
-601;-2,51189;0,0000000479009;0,0000161051;-0,657393;-2,50914;0,262
-601;-3,16228;0,0000000782397;0,0000206769;-0,592319;-3,15916;0,187493
-601;-3,98107;0,000000115302;0,0000265842;-0,682782;-3,97655;0,171702
-601;-5,01187;0,000000502803;0,0000337222;-0,701785;-5,00602;0,140188
-601;-6,30957;0,000000226403;0,0000447665;-0,71509;-6,30207;0,113469
-601;-7,94328;0,000000612385;0,0000576723;-0,727299;-7,93367;0,0916724
-601;-10;0,000000922027;0,0000746989;-0,743463;-9,98763;0,0744384
-601;-12,5893;0,000000664831;0,0000958207;-0,765304;-12,5732;0,0608678
-601;-15,8489;0,00000103137;0,000122603;-0,786905;-15,8282;0,0497154
-601;-19,9526;0,00000187275;0,000160536;-0,806015;-19,9259;0,0404507
-601;-25,1189;0,00000272398;0,000208039;-0,83134;-25,0841;0,0331421
-601;-31,6228;0,00000725138;0,000271466;-0,859239;-31,5776;0,0272104
-601;-39,8107;0,0000115538;0,000354054;-0,891627;-39,7517;0,0224299
-601;-50,1187;0,000007286;0,00046397;-0,929403;-50,0412;0,0185728
-601;-63,0957;0,0000180854;0,00061404;-0,973795;-62,9935;0,0154587
-601;-79,4328;0,000025745;0,000804363;-1,02679;-79,2971;0,0129486
-601;-100;0,0000267754;0,00108982;-1,09057;-99,8185;0,0109256
-601;-125,893;0,0000434286;0,0014497;-1,16797;-125,648;0,00929556
-601;-158,489;0,0000650189;0,00199138;-1,26251;-158,156;0,00798266
-601;-199,526;0,000119762;0,0026881;-1,37863;-199,069;0,00692542
