vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;7,45771e-11;3,90389e-09;0,00391266;0,0999993;0,0391269
-601;-0,125893;1,26302e-09;6,1017e-09;0,00493313;0,125892;0,0391855
-601;-0,158489;1,97796e-10;9,78495e-09;0,00620423;0,158488;0,0391465
-601;-0,199526;6,12133e-10;1,54922e-08;0,00779453;0,199524;0,0390657
-601;-0,251189;2,74105e-10;2,4654e-08;0,00982191;0,251185;0,0391024
-601;-0,316228;6,33947e-10;3,90557e-08;0,0123764;0,316221;0,0391385
-601;-0,398107;1,1429e-07;6,22086e-08;0,0156077;0,398097;0,0392057
-601;-0,501187;7,18415e-08;9,6868e-08;0,0196835;0,501171;0,039275
-601;-0,630957;3,22608e-09;1,55323e-07;0,0247153;0,630931;0,0391727
-601;-0,794328;2,22528e-09;2,46723e-07;0,0310704;0,794287;0,0391173
-601;-1;4,07116e-09;3,90858e-07;0,0390943;0,999935;0,0390969
-601;-1,25893;5,7482e-09;6,15414e-07;0,0494241;1,25882;0,0392622
-601;-1,58489;4,69549e-10;9,83899e-07;0,062162;1,58473;0,0392257
-601;-1,99526;5,0718e-08;1,53124e-06;0,077344;1,99501;0,0387688
-601;-2,51189;5,1095e-08;2,4679e-06;0,097786;2,51148;0,0389357
-601;-3,16228;9,22103e-07;3,90163e-06;0,123462;3,16163;0,0390502
-601;-3,98107;7,24158e-08;6,18812e-06;0,154599;3,98005;0,0388434
-601;-5,01187;2,21912e-07;9,75885e-06;0,194834;5,01025;0,0388872
-601;-6,30957;6,99193e-08;1,54242e-05;0,243543;6,30702;0,0386146
-601;-7,94328;4,92078e-07;2,41856e-05;0,304222;7,93926;0,0383187
-601;-10;7,7314e-07;3,71992e-05;0,372687;9,9938;0,0372918
-601;-12,5893;5,49682e-07;5,56271e-05;0,443139;12,58;0,0352258
-601;-15,8489;1,34455e-06;7,98473e-05;0,506949;15,8356;0,0320133
-601;-19,9526;1,06534e-06;0,00011213;0,562101;19,934;0,0281981
-601;-25,1189;2,63113e-06;0,000154095;0,612267;25,0933;0,0243997
-601;-31,6228;3,84809e-06;0,000208572;0,661045;31,588;0,0209271
-601;-39,8107;1,15913e-05;0,00028;0,711402;39,7636;0,0178908
