vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;2,65951e-09;2,39933e-08;0,00293944;0,1;0
0,1;0,125893;5,87783e-11;2,51668e-08;0,00492992;0,125893;0
0,1;0,158489;3,3898e-09;2,70038e-08;0,0110378;0,158489;0
0,1;0,199526;7,99449e-09;2,8346e-08;0,000572762;0,199526;0
0,1;0,251189;6,52468e-09;3,00338e-08;0,0304785;0,251189;0
0,1;0,316228;2,382e-08;3,15779e-08;0,0555836;0,316228;0
0,1;0,398107;9,89176e-08;3,29724e-08;0,00764586;0,39811;0
0,1;0,501187;4,99335e-08;3,44183e-08;0,0308031;0,501187;0
0,1;0,630957;5,99353e-08;3,64142e-08;0,0311241;0,630957;0
0,1;0,794328;1,64724e-07;3,91076e-08;0,115311;0,794328;0
0,1;1;1,34654e-07;4,18517e-08;0,118167;1;0
0,1;1,25893;3,8886e-07;4,67027e-08;0,169034;1,25892;0
0,1;1,58489;2,76067e-07;5,4155e-08;0,118346;1,58489;0
0,1;1,99526;8,89e-07;6,94207e-08;0,0692564;1,99537;0
0,1;2,51189;1,34301e-06;9,3979e-08;0,0658336;2,51189;0
0,1;3,16228;1,27708e-06;1,313e-07;0,065425;3,16227;0
0,1;3,98107;3,32788e-06;1,89654e-07;0,160609;3,98107;0
0,1;5,01187;5,2153e-06;2,81054e-07;0,195971;5,01187;0
0,1;6,30957;8,66448e-06;4,1838e-07;0,305135;6,30943;0
0,1;7,94328;1,12482e-05;6,35531e-07;0,402467;7,94312;0
0,1;10;1,87802e-05;9,76591e-07;0,385937;9,99995;0
0,1;12,5893;2,87193e-05;1,4612e-06;0,493402;12,5881;0
0,1;15,8489;4,58642e-05;2,18793e-06;0,619531;15,8024;0
0,1;19,9526;6,22546e-05;2,94635e-06;0,7358;18,7643;0
0,1;25,1189;7,0905e-05;3,41391e-06;0,795817;20,2928;0
0,1;31,6228;7,90291e-05;3,75133e-06;0,834179;21,2696;0
0,1;39,8107;8,27139e-05;4,05396e-06;0,863521;22,0167;0
0,1;50,1187;9,06881e-05;4,22433e-06;0,887581;22,6292;0
0,1;63,0957;9,59113e-05;4,42008e-06;0,908019;23,1495;0
0,1;79,4328;9,8412e-05;4,59244e-06;0,925785;23,6017;0
0,1;100;0,000103534;4,74842e-06;0,941506;24,0018;0
0,1;125,893;0,000108212;4,9156e-06;0,95563;24,3613;0
0,1;158,489;0,000106115;5,05058e-06;0,968495;24,6888;0
0,1;199,526;0,000112645;5,14764e-06;0,980361;24,9907;0
0,1;251,189;0,000116898;5,26465e-06;0,991431;25,2725;0
0,1;316,228;0,000119785;5,37614e-06;1,00187;25,5381;0
0,1;398,107;0,000118162;5,48363e-06;1,0118;25,7907;0
0,1;500;0,000127122;5,58669e-06;1,02122;26,0306;0
0,109648;0,1;9,48007e-09;2,35699e-08;0,0105817;0,1;0
0,109648;0,125893;1,73252e-08;2,56597e-08;0,00150701;0,125893;0
0,109648;0,158489;4,89842e-10;2,70453e-08;0,00233735;0,158489;0
0,109648;0,199526;3,56232e-08;2,85065e-08;0,0193885;0,199526;0
0,109648;0,251189;8,27576e-08;3,08867e-08;0,00287003;0,251189;0
0,109648;0,316228;4,48671e-08;3,16166e-08;0,0370724;0,316228;0
0,109648;0,398107;1,80764e-08;3,33963e-08;0,0632901;0,39811;0
0,109648;0,501187;3,48496e-08;3,4993e-08;0,0442659;0,501195;0
0,109648;0,630957;5,31766e-08;3,6812e-08;0,0695342;0,630963;0
0,109648;0,794328;1,65496e-07;3,92174e-08;0,0416419;0,794328;0
