vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;0,00000000161133;4,46588E-10;-0,00315832;-0,1;0,0315832
-601;-0,125893;0,00000000251603;1,46742E-10;-0,0174011;-0,125893;0,138222
-601;-0,158489;0,00000000436863;4,78595E-10;-0,0108005;-0,158489;0,0681466
-601;-0,199526;0,00000000624174;8,80221E-10;-0,000882598;-0,199526;0,00442347
-601;-0,251189;0,00000000972737;0,00000000112468;-0,0306065;-0,251189;0,121847
-601;-0,316228;0,0000000158123;0,00000000177242;-0,0309395;-0,316228;0,0978394
-601;-0,398107;0,0000000245442;8,94166E-10;-0,000317284;-0,398107;0,000796981
-601;-0,501187;0,0000000390377;0,00000000228065;-0,0715154;-0,501187;0,142692
-601;-0,630957;0,0000000647272;0,00000000529443;-0,0504762;-0,630957;0,0799994
-601;-0,794328;0,0000000992322;0,00000000990416;-0,0516341;-0,794328;0,0650035
-601;-1;0,000000152553;0,0000000128208;-0,1444;-1;0,1444
-601;-1,25893;0,000000271267;0,0000000464969;-0,0268901;-1,25893;0,0213596
-601;-1,58489;0,000000371751;0,000000041054;-0,0575091;-1,58489;0,0362858
-601;-1,99526;0,000000648413;0,000000118482;-0,049;-1,99526;0,0245582
-601;-2,51189;0,0000010249;0,0000000746077;-0,219448;-2,51189;0,087364
-601;-3,16228;0,00000152103;0,0000000678316;-0,0376392;-3,16228;0,0119026
-601;-3,98107;0,00000241987;0,0000000868481;-0,524901;-3,98107;0,131849
-601;-5,01187;0,00000408431;0,000000402736;-0,547327;-5,01187;0,109206
-601;-6,30957;0,00000606985;0,000000211903;-0,778653;-6,30957;0,123408
-601;-7,94328;0,00000245548;0,000000361083;-0,303009;-7,94328;0,0381465
-601;-10;0,00000386795;0,000000360903;-0,374542;-10;0,0374542
-601;-12,5893;0,00000546973;0,000000688846;-0,444677;-12,5893;0,0353219
-601;-15,8489;0,00000828711;0,00000104915;-0,502194;-15,8489;0,0316863
-601;-19,9526;0,0000113325;0,00000202491;-0,561744;-19,9526;0,0281539
-601;-25,1189;0,000016283;0,0000027676;-0,609377;-25,1189;0,0242598
-601;-31,6228;0,0000230423;0,00000452064;-0,662269;-31,6228;0,0209428
-601;-39,8107;0,0000311265;0,00000548427;-0,700411;-39,8107;0,0175935
-601;-50,1187;0,0000423039;0,00000792303;-0,77957;-50,1187;0,0155545
-601;-63,0957;0,0000577436;0,0000135983;-0,825862;-63,0957;0,013089
-601;-79,4328;0,0000823283;0,0000202677;-0,885462;-79,4328;0,0111473
-601;-100;0,000115714;0,000031374;-0,987188;-100;0,00987188
-601;-125,893;0,000165225;0,0000480615;-1,08313;-125,893;0,00860362
-601;-158,489;0,000239097;0,000074787;-1,19605;-158,489;0,00754659
-601;-199,526;0,000349087;0,000115779;-1,34928;-199,526;0,00676244
-601;-251,189;0,000523771;0,000175829;-1,46946;-251,189;0,00585003
-601;-316,228;0,000797275;0,000280563;-1,70603;-316,228;0,00539494
-601;-398,107;0,00117516;0,000436354;-2,13221;-398,107;0,00535588
