vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;2,07187e-09;6,17255e-09;0,000518772;0,1;0
0,1;0,125893;4,65651e-09;7,40858e-09;0,0248991;0,125893;0
0,1;0,158489;4,99561e-10;8,90106e-09;0,0144182;0,158489;0
0,1;0,199526;1,14522e-08;1,0389e-08;0,0400021;0,199526;0
0,1;0,251189;5,41315e-09;1,19346e-08;0,0380757;0,251189;0
0,1;0,316228;6,85331e-08;1,32051e-08;0,0466141;0,316228;0
0,1;0,398107;2,178e-09;1,43397e-08;0,0353835;0,398107;0
0,1;0,501187;1,15942e-07;1,5324e-08;0,0257536;0,501187;0
0,1;0,630957;4,26676e-08;1,61333e-08;0,126275;0,630971;0
0,1;0,794328;2,14919e-07;1,68792e-08;0,143208;0,794432;0
0,1;1;2,73596e-08;1,75733e-08;0,153971;1;0
0,1;1,25893;2,69808e-08;1,85411e-08;0,0834204;1,25893;0
0,1;1,58489;2,65462e-07;1,98296e-08;0,10783;1,58489;0
0,1;1,99526;1,61264e-08;2,26041e-08;0,114347;1,99526;0
0,1;2,51189;2,97998e-09;3,26221e-08;0,0974015;2,51189;0
0,1;3,16228;5,20168e-08;4,83911e-08;0,305636;3,16228;0
0,1;3,98107;6,80883e-07;7,27981e-08;0,0743398;3,9813;0
0,1;5,01187;1,76122e-06;1,12627e-07;0,096326;5,01186;0
0,1;6,30957;2,28888e-06;1,65985e-07;0,11286;6,30957;0
0,1;7,94328;3,46593e-06;2,68701e-07;0,352657;7,94328;0
0,1;10;5,74906e-06;3,9868e-07;0,127189;9,99999;0
0,1;12,5893;8,63577e-06;6,17834e-07;0,0477232;12,5892;0
0,1;15,8489;1,19142e-05;8,98147e-07;0,33015;15,8489;0
0,1;19,9526;1,8233e-05;1,34854e-06;0,00869558;19,9526;0
0,1;25,1189;2,4694e-05;2,05196e-06;0,468222;25,1187;0
0,1;31,6228;4,29967e-05;3,08692e-06;0,494928;31,6228;0
0,1;39,8107;6,42172e-05;4,6368e-06;0,61478;39,8105;0
0,1;50,1187;8,13115e-05;6,78864e-06;0,776568;50,0524;0
0,1;63,0957;0,000102455;8,63656e-06;0,896795;57,7568;0
0,1;79,4328;0,000126003;9,51674e-06;0,942672;60,6933;0
