vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;6,05692e-09;7,19886e-09;0,00293944;0,1;0
0,1;0,125893;1,4647e-09;8,63058e-09;0,00492992;0,125893;0
0,1;0,158489;1,10492e-09;1,00155e-08;0,0110378;0,158489;0
0,1;0,199526;3,72171e-09;1,15443e-08;0,000572762;0,199526;0
0,1;0,251189;2,469e-10;1,28898e-08;0,0304785;0,251189;0
0,1;0,316228;4,76133e-09;1,41034e-08;0,0555836;0,316228;0
0,1;0,398107;2,50999e-08;1,54422e-08;0,00764586;0,39811;0
0,1;0,501187;1,65178e-08;1,67929e-08;0,0308031;0,501187;0
0,1;0,630957;1,72629e-08;1,83861e-08;0,0311241;0,630957;0
0,1;0,794328;2,8573e-08;2,056e-08;0,112565;0,794328;0
0,1;1;1,55778e-07;2,35559e-08;0,113717;1;0
0,1;1,25893;2,04986e-07;2,81056e-08;0,169034;1,25892;0
0,1;1,58489;3,04856e-07;3,54294e-08;0,118374;1,58489;0
0,1;1,99526;4,30596e-07;5,0366e-08;0,0692564;1,99537;0
0,1;2,51189;6,6593e-07;7,45761e-08;0,0895815;2,5119;0
0,1;3,16228;5,61253e-07;1,12167e-07;0,0654921;3,16227;0
0,1;3,98107;1,68117e-06;1,70577e-07;0,160609;3,98107;0
0,1;5,01187;2,45572e-06;2,61714e-07;0,195971;5,01187;0
0,1;6,30957;4,39144e-06;3,9861e-07;0,305198;6,30943;0
0,1;7,94328;6,84798e-06;6,14304e-07;0,401314;7,94316;0
0,1;10;1,05647e-05;9,24111e-07;0,382911;10,0001;0
0,1;12,5893;1,57709e-05;1,44021e-06;0,493402;12,5881;0
0,1;15,8489;2,51845e-05;2,16604e-06;0,619531;15,8024;0
0,1;19,9526;3,36728e-05;2,92333e-06;0,7358;18,7643;0
0,1;25,1189;3,90199e-05;3,39557e-06;0,795817;20,2928;0
0,1;31,6228;4,23097e-05;3,72886e-06;0,834179;21,2696;0
0,1;39,8107;4,38104e-05;4,03146e-06;0,863521;22,0167;0
0,1;50,1187;4,83546e-05;4,20636e-06;0,887581;22,6292;0
0,1;63,0957;5,106e-05;4,40106e-06;0,908019;23,1495;0
0,1;79,4328;5,23969e-05;4,57224e-06;0,925785;23,6017;0
