vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;2,32215e-08;4,74539e-07;0,489304;0,0999186;4,89702
-601;-0,125893;2,86342e-09;6,16881e-07;0,500905;0,125788;3,98215
-601;-0,158489;1,52449e-09;7,8545e-07;0,512534;0,158354;3,23663
-601;-0,199526;3,73567e-09;1,01324e-06;0,524145;0,199352;2,62924
-601;-0,251189;4,57826e-09;1,31319e-06;0,535837;0,250965;2,13511
-601;-0,316228;1,2022e-07;1,68239e-06;0,547561;0,31594;1,73312
-601;-0,398107;4,74381e-08;2,17889e-06;0,559238;0,397737;1,40605
-601;-0,501187;4,38944e-09;2,78015e-06;0,57116;0,500711;1,1407
-601;-0,630957;1,32003e-08;3,58045e-06;0,583011;0,630345;0,924907
-601;-0,794328;1,10527e-08;4,581e-06;0,594706;0,793542;0,749432
-601;-1;2,51894e-08;5,8812e-06;0,607341;0,998989;0,607955
-601;-1,25893;3,38942e-08;7,56317e-06;0,619628;1,25763;0,492696
-601;-1,58489;2,22926e-08;9,74573e-06;0,631822;1,58323;0,399072
-601;-1,99526;3,22207e-08;1,251e-05;0,644542;1,99312;0,323383
-601;-2,51189;4,79009e-08;1,61051e-05;0,657393;2,50914;0,262
-601;-3,16228;7,82397e-08;2,06769e-05;0,592319;3,15916;0,187493
-601;-3,98107;1,15302e-07;2,65842e-05;0,682782;3,97655;0,171702
-601;-5,01187;5,02803e-07;3,37222e-05;0,701785;5,00602;0,140188
-601;-6,30957;2,26403e-07;4,47665e-05;0,71509;6,30207;0,113469
-601;-7,94328;6,12385e-07;5,76723e-05;0,727299;7,93367;0,0916724
-601;-10;9,22027e-07;7,46989e-05;0,743463;9,98763;0,0744384
-601;-12,5893;6,64831e-07;9,58207e-05;0,765304;12,5732;0,0608678
-601;-15,8489;1,03137e-06;0,000122603;0,786905;15,8282;0,0497154
-601;-19,9526;1,87275e-06;0,000160536;0,806015;19,9259;0,0404507
-601;-25,1189;2,72398e-06;0,000208039;0,83134;25,0841;0,0331421
-601;-31,6228;7,25138e-06;0,000271466;0,859239;31,5776;0,0272104
-601;-39,8107;1,15538e-05;0,000354054;0,891627;39,7517;0,0224299
-601;-50,1187;7,286e-06;0,00046397;0,929403;50,0412;0,0185728
-601;-63,0957;1,80854e-05;0,00061404;0,973795;62,9935;0,0154587
-601;-79,4328;2,5745e-05;0,000804363;1,02679;79,2971;0,0129486
-601;-100;2,67754e-05;0,00108982;1,09057;99,8185;0,0109256
-601;-125,893;4,34286e-05;0,0014497;1,16797;125,648;0,00929556
