vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;7,36205e-10;2,44648e-07;0,249606;0,0999585;2,4971
-601;-0,125893;4,16874e-08;3,2931e-07;0,264769;0,125837;2,10406
-601;-0,158489;2,44617e-08;4,37601e-07;0,280019;0,158415;1,76763
-601;-0,199526;3,95113e-09;5,79622e-07;0,295321;0,199428;1,48084
-601;-0,251189;1,44656e-07;7,7578e-07;0,310745;0,251059;1,23774
-601;-0,316228;5,5653e-09;1,02371e-06;0,326195;0,316056;1,03208
-601;-0,398107;5,62007e-09;1,35567e-06;0,34175;0,397881;0,858925
-601;-0,501187;3,10169e-07;1,78763e-06;0,357388;0,500889;0,713506
-601;-0,630957;6,46958e-09;2,34491e-06;0,373079;0,630566;0,591657
-601;-0,794328;1,24245e-08;3,09789e-06;0,38889;0,793814;0,4899
-601;-1;6,90442e-09;4,01722e-06;0,405283;0,999326;0,405556
-601;-1,25893;1,29611e-08;5,26809e-06;0,421035;1,25804;0,334674
-601;-1,58489;1,09448e-08;6,88737e-06;0,437554;1,58374;0,276279
-601;-1,99526;4,91938e-08;9,03247e-06;0,453752;1,99376;0,227587
-601;-2,51189;2,61667e-08;1,21512e-05;0,470985;2,50992;0,187649
-601;-3,16228;5,62111e-08;1,56219e-05;0,489133;3,1597;0,154804
-601;-3,98107;8,38778e-08;2,02262e-05;0,590751;3,97716;0,148536
-601;-5,01187;1,17001e-07;2,6117e-05;0,642101;5,00652;0,128253
-601;-6,30957;1,94591e-07;3,44378e-05;0,527432;6,30404;0,0836658
-601;-7,94328;2,51313e-07;4,50584e-05;0,485143;7,93687;0,0611253
-601;-10;3,87603e-07;5,79078e-05;0,607629;9,98989;0,0608244
-601;-12,5893;6,58914e-07;7,68774e-05;0,609469;12,5765;0,048461
-601;-15,8489;1,24473e-06;0,000100237;0,644056;15,8319;0,0406808
-601;-19,9526;1,58319e-06;0,000130442;0,648781;19,9311;0,0325512
-601;-25,1189;1,89348e-06;0,000174905;0,698622;25,0897;0,027845
-601;-31,6228;2,87597e-06;0,000227861;0,733341;31,5842;0,0232186
-601;-39,8107;4,43624e-06;0,000308281;0,77348;39,7595;0,019454
-601;-50,1187;6,84034e-06;0,000409323;0,819984;50,0503;0,0163832
-601;-63,0957;1,07882e-05;0,000553622;0,876003;63,0038;0,013904
-601;-79,4328;1,67304e-05;0,000736579;0,941975;79,3083;0,0118774
-601;-100;2,61007e-05;0,00101954;1,02123;99,8301;0,0102297
-601;-125,893;4,07168e-05;0,00140418;1,11722;125,659;0,0088909
-601;-158,489;6,58969e-05;0,00188653;1,23413;158,164;0,00780285
