vds;ids;eon;eoff;vdsreal;idsreal;rdson
0,1;0,1;6,21191e-10;6,25083e-09;0,0164985;0,1;0
0,1;0,125893;2,54423e-10;7,447e-09;0,0131562;0,125893;0
0,1;0,158489;2,40616e-09;8,91976e-09;0,0258822;0,158489;0
0,1;0,199526;6,19144e-09;1,04855e-08;0,0190291;0,199526;0
0,1;0,251189;4,86715e-08;1,1935e-08;0,0366707;0,251189;0
0,1;0,316228;2,95333e-08;1,32361e-08;0,0255921;0,316228;0
0,1;0,398107;5,01428e-09;1,43125e-08;0,0189083;0,398107;0
0,1;0,501187;9,58025e-09;1,53309e-08;0,0642806;0,501187;0
0,1;0,630957;2,33031e-07;1,61921e-08;0,114158;0,63096;0
0,1;0,794328;2,45792e-08;1,69527e-08;0,0453084;0,794566;0
0,1;1;3,80663e-08;1,77201e-08;0,0822581;1;0
0,1;1,25893;6,16213e-08;1,87253e-08;0,0130721;1,25893;0
0,1;1,58489;9,5928e-08;2,01146e-08;0,131577;1,58489;0
0,1;1,99526;1,41316e-07;2,34527e-08;0,0712126;1,99526;0
0,1;2,51189;2,32421e-07;3,39224e-08;0,105035;2,51189;0
0,1;3,16228;3,78923e-07;4,98771e-08;0,30135;3,16231;0
0,1;3,98107;5,64975e-07;7,47576e-08;0,0455495;3,98107;0
0,1;5,01187;7,8083e-07;1,16592e-07;0,189163;5,01187;0
0,1;6,30957;1,3765e-06;1,74109e-07;0,00709053;6,30957;0
0,1;7,94328;2,16576e-06;2,69251e-07;0,162329;7,94328;0
0,1;10;3,39471e-06;4,15064e-07;0,221703;10;0
0,1;12,5893;5,26163e-06;6,07346e-07;0,00783959;12,5893;0
0,1;15,8489;8,29977e-06;9,24777e-07;0,0651785;15,8489;0
0,1;19,9526;1,30189e-05;1,37721e-06;0,227208;19,9526;0
0,1;25,1189;2,01443e-05;2,07542e-06;0,422456;25,1189;0
0,1;31,6228;3,07695e-05;3,16038e-06;0,526351;31,6228;0
0,1;39,8107;4,74002e-05;4,74021e-06;0,62718;39,8105;0
0,1;50,1187;6,91047e-05;6,86633e-06;0,798657;49,9461;0
0,1;63,0957;8,10922e-05;8,49527e-06;0,902497;56,4043;0
0,1;79,4328;8,682e-05;9,28738e-06;0,944886;59,0379;0
0,1;100;9,14559e-05;9,86348e-06;0,973896;60,8395;0
0,1;125,893;9,51345e-05;1,0116e-05;0,996704;62,2554;0
