vds;ids;eon;eoff;vdsreal;idsreal;rdson
-601;-0,1;0,00234368;4,58444e-06;0,605835;0,0998992;6,06446
-601;-0,125893;0,00378281;5,78165e-06;0,612366;0,125764;4,86916
-601;-0,158489;0,00476222;7,34581e-06;0,618958;0,158326;3,90938
-601;-0,199526;0,00599521;8,40332e-06;0,625549;0,199319;3,13844
-601;-0,251189;0,00754744;1,05761e-05;0,632202;0,250924;2,51949
-601;-0,316228;0,00624724;1,26646e-05;0,638855;0,315892;2,02239
-601;-0,398107;0,0116233;1,71596e-05;0,64563;0,39768;1,62349
-601;-0,501187;0,00487292;2,0334e-05;0,652405;0,500643;1,30313
-601;-0,630957;0,0189575;2,62931e-05;0,659302;0,630265;1,04607
-601;-0,794328;0,0238657;3,637e-05;0,666321;0,793448;0,839779
-601;-1;0,0274591;3,87095e-05;0,673523;0,998879;0,674279
-575,44;-0,1;0,00180472;4,38932e-06;0,605835;0,0998947;6,06473
-575,44;-0,125893;0,00362176;5,53578e-06;0,612366;0,125759;4,86938
-575,44;-0,158489;0,00455948;7,03242e-06;0,618958;0,158319;3,90956
-575,44;-0,199526;0,000983605;8,04511e-06;0,625549;0,199309;3,13859
-575,44;-0,251189;0,00722612;1,01253e-05;0,632202;0,250913;2,51961
-575,44;-0,316228;0,00909704;1,21249e-05;0,638855;0,315877;2,02248
-575,44;-0,398107;0,0114524;1,64285e-05;0,64563;0,397661;1,62357
-575,44;-0,501187;0,0144175;1,94646e-05;0,652405;0,500619;1,3032
-575,44;-0,630957;0,0181503;2,51755e-05;0,659363;0,630234;1,04622
-575,44;-0,794328;0,0228496;3,48222e-05;0,666382;0,793408;0,839898
-575,44;-1;0,0287656;3,70555e-05;0,673523;0,99883;0,674312
-524,807;-0,1;0,0026235;4,00282e-06;0,605774;0,0998846;6,06474
-524,807;-0,125893;0,00222685;5,048e-06;0,612366;0,125746;4,86988
-524,807;-0,158489;0,00415786;6,41309e-06;0,618896;0,158302;3,90958
-524,807;-0,199526;0,00523437;7,33603e-06;0,625549;0,199288;3,13891
-524,807;-0,251189;0,0065896;9,23313e-06;0,632141;0,250886;2,51963
-524,807;-0,316228;0,000151132;1,10569e-05;0,638855;0,315843;2,0227
-524,807;-0,398107;0,00700414;1,49827e-05;0,645569;0,397617;1,62359
-524,807;-0,501187;0,0131475;1,7751e-05;0,652405;0,500564;1,30334
-524,807;-0,630957;0,00897597;2,2958e-05;0,659302;0,630165;1,04624
-524,807;-0,794328;0,0208368;3,17506e-05;0,666321;0,79332;0,839915
