vds;ids;eon;eoff;vdsreal;idsreal;rdson
-500;-0,1;4,2762e-11;1,74599e-11;0,00157024;0,1;0,0157024
-500;-0,123285;6,62524e-11;3,76501e-11;0,00200556;0,123285;0,0162677
-500;-0,151991;1,02977e-10;3,90319e-11;0,00254231;0,151991;0,0167267
-500;-0,187382;1,58002e-10;6,31277e-11;0,00320413;0,187382;0,0170995
-500;-0,231013;2,45529e-10;1,31124e-10;0,00402027;0,231013;0,0174028
-500;-0,284804;3,72349e-10;1,38863e-10;0,00502683;0,284804;0,0176502
-500;-0,351119;5,76959e-10;2,20876e-10;0,00626849;0,351119;0,0178529
-500;-0,432876;8,84806e-10;3,49484e-10;0,00780067;0,432876;0,0180206
-500;-0,53367;1,34065e-09;7,14291e-10;0,00969225;0,53367;0,0181615
-500;-0,657933;2,03369e-09;1,29749e-09;0,0120292;0,657933;0,0182834
-500;-0,811131;3,13307e-09;1,97108e-09;0,0149198;0,811131;0,0183938
-500;-1;4,77635e-09;3,20537e-09;0,018501;1;0,018501
-500;-1,23285;7,18414e-09;4,45689e-09;0,0229496;1,23285;0,0186151
-500;-1,51991;1,10339e-08;4,75709e-09;0,0284969;1,51991;0,0187491
-500;-1,87382;1,6886e-08;8,21075e-09;0,0354553;1,87382;0,0189214
-500;-2,31013;2,52164e-08;2,0746e-08;0,0442608;2,31013;0,0191595
-500;-2,84804;3,9042e-08;4,04018e-08;0,0555504;2,84804;0,0195048
-500;-3,51119;5,9767e-08;3,82332e-08;0,0703055;3,51119;0,0200233
-500;-4,32876;9,02596e-08;1,62637e-07;0,0901336;4,32876;0,020822
-500;-5,3367;1,36013e-07;3,20132e-07;0,117847;5,3367;0,0220824
-500;-6,57933;2,07756e-07;4,614e-07;0,15873;6,57933;0,0241255
-500;-8,11131;3,13362e-07;4,21169e-07;0,22349;8,11131;0,0275529
-500;-10;4,7673e-07;3,83983e-07;0,335701;10;0,0335701
-500;-12,3285;7,39048e-07;1,05241e-06;0,521861;12,3285;0,0423297
-500;-15,1991;1,10006e-06;1,21782e-06;0,629113;15,1991;0,0413914
-500;-18,7382;1,68893e-06;9,50243e-07;0,682688;18,7382;0,036433
-500;-23,1013;2,54943e-06;2,23068e-06;0,722773;23,1013;0,0312871
-500;-28,4804;3,79429e-06;1,84114e-06;0,758939;28,4804;0,0266478
-500;-35,1119;5,50362e-06;4,12088e-06;0,794733;35,1119;0,0226343
-500;-43,2876;7,85132e-06;4,34317e-06;0,835221;43,2876;0,0192947
-500;-53,367;1,12474e-05;7,06422e-06;0,883003;53,367;0,0165459
-500;-65,7933;1,59459e-05;1,06745e-05;0,939687;65,7933;0,0142824
-500;-81,1131;2,29728e-05;1,43578e-05;1,00701;81,1131;0,0124149
-500;-100;3,33356e-05;2,05192e-05;1,08689;100;0,0108689
-398,107;-0,1;4,2762e-11;1,74599e-11;0,00157024;0,1;0,0157024
-398,107;-0,123285;6,62524e-11;3,76501e-11;0,00200556;0,123285;0,0162677
-398,107;-0,151991;1,02977e-10;3,90319e-11;0,00254231;0,151991;0,0167267
-398,107;-0,187382;1,58002e-10;6,31277e-11;0,00320413;0,187382;0,0170995
