vds;ids;eon;eoff;vdsreal;idsreal;rdson
-500;-0,1;8,06155e-10;5,97641e-09;0,617223;0,1;6,17223
-500;-0,123285;1,2677e-09;8,85048e-09;0,622972;0,123285;5,05312
-500;-0,151991;2,23934e-09;7,20389e-09;0,62873;0,151991;4,13662
-500;-0,187382;4,2375e-09;8,32596e-09;0,634502;0,187382;3,38615
-500;-0,231013;8,25329e-09;1,34019e-08;0,640293;0,231013;2,77168
-500;-0,284804;1,33264e-08;1,0818e-08;0,64611;0,284804;2,26862
-500;-0,351119;1,90223e-08;1,23173e-08;0,65196;0,351119;1,85681
-500;-0,432876;2,78754e-08;1,62504e-08;0,657852;0,432876;1,51972
-500;-0,53367;3,73769e-08;3,51045e-08;0,663796;0,53367;1,24383
-500;-0,657933;5,28647e-08;2,22344e-08;0,669806;0,657933;1,01804
-500;-0,811131;6,91901e-08;5,89746e-08;0,675897;0,811131;0,833277
-500;-1;8,80093e-08;6,01725e-08;0,682089;1;0,682089
-500;-1,23285;1,15814e-07;1,05079e-07;0,688406;1,23285;0,558387
-500;-1,51991;1,50396e-07;6,52982e-08;0,694878;1,51991;0,457183
-500;-1,87382;1,92214e-07;1,18265e-07;0,701539;1,87382;0,374391
-500;-2,31013;2,46273e-07;1,90489e-07;0,708436;2,31013;0,306665
-500;-2,84804;3,07744e-07;1,01465e-07;0,715623;2,84804;0,251269
-500;-3,51119;3,99472e-07;2,96155e-07;0,723166;3,51119;0,20596
-500;-4,32876;5,09799e-07;1,79241e-07;0,731149;4,32876;0,168905
-500;-5,3367;6,36091e-07;3,79623e-07;0,739675;5,3367;0,138602
-500;-6,57933;8,25182e-07;3,07713e-07;0,748867;6,57933;0,113821
-500;-8,11131;1,04524e-06;4,47179e-07;0,758881;8,11131;0,0935584
-500;-10;1,36056e-06;9,01131e-07;0,769906;10;0,0769906
-500;-12,3285;1,7568e-06;8,59087e-07;0,782175;12,3285;0,0634446
-500;-15,1991;2,2809e-06;1,36735e-06;0,795973;15,1991;0,0523697
-500;-18,7382;2,96833e-06;9,0706e-07;0,81165;18,7382;0,0433153
-500;-23,1013;3,98194e-06;1,50409e-06;0,829635;23,1013;0,0359129
-500;-28,4804;5,18632e-06;2,8336e-06;0,850454;28,4804;0,0298611
-500;-35,1119;7,00929e-06;4,70511e-06;0,874748;35,1119;0,0249131
-500;-43,2876;9,52232e-06;3,34501e-06;0,903301;43,2876;0,0208674
-500;-53,367;1,29398e-05;6,93348e-06;0,937069;53,367;0,017559
-500;-65,7933;1,77668e-05;9,84691e-06;0,977218;65,7933;0,0148528
-500;-81,1131;2,48758e-05;1,54738e-05;1,02517;81,1131;0,0126388
-500;-100;3,49611e-05;2,24113e-05;1,08265;100;0,0108265
-398,107;-0,1;8,06155e-10;5,97641e-09;0,617223;0,1;6,17223
-398,107;-0,123285;1,2677e-09;8,85048e-09;0,622972;0,123285;5,05312
-398,107;-0,151991;2,23934e-09;7,20389e-09;0,62873;0,151991;4,13662
-398,107;-0,187382;4,2375e-09;8,32596e-09;0,634502;0,187382;3,38615
-398,107;-0,231013;8,25329e-09;1,34019e-08;0,640293;0,231013;2,77168
-398,107;-0,284804;1,33264e-08;1,0818e-08;0,64611;0,284804;2,26862
-398,107;-0,351119;1,90223e-08;1,23173e-08;0,65196;0,351119;1,85681
-398,107;-0,432876;2,78754e-08;1,62504e-08;0,657852;0,432876;1,51972
-398,107;-0,53367;3,73769e-08;3,51045e-08;0,663796;0,53367;1,24383
-398,107;-0,657933;5,28647e-08;2,22344e-08;0,669806;0,657933;1,01804
-398,107;-0,811131;6,91901e-08;5,89746e-08;0,675897;0,811131;0,833277
-398,107;-1;8,80093e-08;6,01725e-08;0,682089;1;0,682089
-398,107;-1,23285;1,15814e-07;1,05079e-07;0,688406;1,23285;0,558387
-398,107;-1,51991;1,50396e-07;6,52982e-08;0,694878;1,51991;0,457183
-398,107;-1,87382;1,92214e-07;1,18265e-07;0,701539;1,87382;0,374391
-398,107;-2,31013;2,46273e-07;1,90489e-07;0,708436;2,31013;0,306665
-398,107;-2,84804;3,07744e-07;1,01465e-07;0,715623;2,84804;0,251269
-398,107;-3,51119;3,99472e-07;2,96155e-07;0,723166;3,51119;0,20596
-398,107;-4,32876;5,09799e-07;1,79241e-07;0,731149;4,32876;0,168905
-398,107;-5,3367;6,36091e-07;3,79623e-07;0,739675;5,3367;0,138602
-398,107;-6,57933;8,25182e-07;3,07713e-07;0,748867;6,57933;0,113821
-398,107;-8,11131;1,04524e-06;4,47179e-07;0,758881;8,11131;0,0935584
-398,107;-10;1,36056e-06;9,01131e-07;0,769906;10;0,0769906
-398,107;-12,3285;1,7568e-06;8,59087e-07;0,782175;12,3285;0,0634446
-398,107;-15,1991;2,2809e-06;1,36735e-06;0,795973;15,1991;0,0523697
